prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,Security,App,issueNumber,corpus
569,1,1,0,0,1,1,0,0,0,1881.97546837135,improved the public api of mockingdetails 541 highlights:- started exposing full mock creation information instead of just type to mock and extra interfaces- changed public api but only for methods that were introduced in 2x so it is _not_ backwards incompatible change as far as 110 is concerned   if no other feedback if youre happy with change merge yourself :) || i needed to merge because it was blocking me i can address @bric3 comment later if such is the decision || @szczepiq nope your feedback works for me as well ) ||
592,1,1,0,1,1,1,1,0,1,552,stylesheet-tweaks-for-openjdk6 #589 aimed to fix the javadoc rendering but the assumption was that the javadoc tool of the sun jdk6 will render javadoc the same way as openjdk6unfortunately this is not the same the javadoc rendering of openjdk6 is a pre work that avoid the use of table elements this making the stylesheet incompatiblethis pr aims to fix that and thus 552 bonus i changed the `2*` and `20`  200` in the javadoc this way we have aligned version numbers  
592,1,1,1,1,1,1,1,0,1,2111.37264372978,stylesheet-tweaks-for-openjdk6 #589 aimed to fix the javadoc rendering but the assumption was that the javadoc tool of the sun jdk6 will render javadoc the same way as openjdk6unfortunately this is not the same the javadoc rendering of openjdk6 is a pre work that avoid the use of table elements this making the stylesheet incompatiblethis pr aims to fix that and thus 552 bonus i changed the `2*` and `20`  200` in the javadoc this way we have aligned version numbers  
615,1,1,1,1,1,1,1,0,1,497,497 : returns_deep_stubs may try to mock final classes 497with deep stubs it was possible for generic metadata to be lost/unusedthrough nested invocations on non generic types this could cause `returns_deep_stubs` to try mocking final classes which would result in a `classcastexception`apparently my other pr (#549) wasnt quite enough to fully fix this problem---**edited by mockito team**   615  **< 
615,1,1,0,1,1,1,0,0,0,969.966572538691,497 : returns_deep_stubs may try to mock final classes 497with deep stubs it was possible for generic metadata to be lost/unusedthrough nested invocations on non generic types this could cause `returns_deep_stubs` to try mocking final classes which would result in a `classcastexception`apparently my other pr (#549) wasnt quite enough to fully fix this problem---**edited by mockito team**   615  **< 
617,1,0,0,0,1,1,0,0,0,338,moves arity interfaces of java8 helper answers to public api the java 8 helper interfaces have been introduced in #338 however the public `additionalanswersanswer` family leak the functional interfacesthese _parameter arity_ interfaces can be public hence they are moved next to `answer` in the `orgmockitostubbing` packageim however in favor of adding the `@incubating` annotation on those apis and related objects thoughts ?614   617   some very small doc comments lgtm also with the `@incubating` 
617,1,1,0,1,1,1,0,0,1,598.891577858182,moves arity interfaces of java8 helper answers to public api the java 8 helper interfaces have been introduced in #338 however the public `additionalanswersanswer` family leak the functional interfacesthese _parameter arity_ interfaces can be public hence they are moved next to `answer` in the `orgmockitostubbing` packageim however in favor of adding the `@incubating` annotation on those apis and related objects thoughts ?614   617   some very small doc comments lgtm also with the `@incubating` 
619,1,0,0,0,0,1,0,0,1,548,548 from now on verification happens always call in other thre… should fix problems with #548 and #601     i am going to restart this build a couple of times to test the robustness || it could take a  while hopefully we have loopsin the meantime try this gist :  || got a failed travis job the culprit seems to be `orgmockitousageverificationverificationafterdelaytest > shouldverifynormallywithspecifictimes` || i have not touched `verificationafterdelaytest` in this pr || yes i know was merely stating that the travis failure we experienced was a different test nonetheless i think it is best if we aggregrate all test fixes in a pr to study the robustness would you be willing to do so? || yup another commit with `verificationafterdelaytest` changes take a look || great thanks will be restarting these changes a couple of times too really nice to have deterministic results now!    || im ok with the change even if the fact that the proposed test implementation is not completely deterministic its definitely an nifty improvement plus the test code is elegant! || @lukasz-szewc also after adding the `timeunit` parameter to `delayedexection` ? could rebase your commits (`added one missing line` is not really the most expressive message) ) || i like the idea of starting the threads and await there readiness this might solve the timing issues an other option is to write an simplified scheduledexecutorservice with the same behavior as the delayedexecution of this pr this way the test can remain untouched and we have still the possibiliy run tasks with individual delay as required by one test  || 1 added `timeunit` to constructor2 reworked one of test in `verificationwithtimeouttest` mentioned above3 rebased and pushed with forcetake a look ||
619,1,0,1,0,1,0,0,0,0,1585.3189419666,548 from now on verification happens always call in other thre… should fix problems with #548 and #601     i am going to restart this build a couple of times to test the robustness || it could take a  while hopefully we have loopsin the meantime try this gist :  || got a failed travis job the culprit seems to be `orgmockitousageverificationverificationafterdelaytest > shouldverifynormallywithspecifictimes` || i have not touched `verificationafterdelaytest` in this pr || yes i know was merely stating that the travis failure we experienced was a different test nonetheless i think it is best if we aggregrate all test fixes in a pr to study the robustness would you be willing to do so? || yup another commit with `verificationafterdelaytest` changes take a look || great thanks will be restarting these changes a couple of times too really nice to have deterministic results now!    || im ok with the change even if the fact that the proposed test implementation is not completely deterministic its definitely an nifty improvement plus the test code is elegant! || @lukasz-szewc also after adding the `timeunit` parameter to `delayedexection` ? could rebase your commits (`added one missing line` is not really the most expressive message) ) || i like the idea of starting the threads and await there readiness this might solve the timing issues an other option is to write an simplified scheduledexecutorservice with the same behavior as the delayedexecution of this pr this way the test can remain untouched and we have still the possibiliy run tasks with individual delay as required by one test  || 1 added `timeunit` to constructor2 reworked one of test in `verificationwithtimeouttest` mentioned above3 rebased and pushed with forcetake a look ||
619,1,0,0,0,0,1,0,0,1,601,548 from now on verification happens always call in other thre… should fix problems with #548 and #601     i am going to restart this build a couple of times to test the robustness || it could take a  while hopefully we have loopsin the meantime try this gist :  || got a failed travis job the culprit seems to be `orgmockitousageverificationverificationafterdelaytest > shouldverifynormallywithspecifictimes` || i have not touched `verificationafterdelaytest` in this pr || yes i know was merely stating that the travis failure we experienced was a different test nonetheless i think it is best if we aggregrate all test fixes in a pr to study the robustness would you be willing to do so? || yup another commit with `verificationafterdelaytest` changes take a look || great thanks will be restarting these changes a couple of times too really nice to have deterministic results now!    || im ok with the change even if the fact that the proposed test implementation is not completely deterministic its definitely an nifty improvement plus the test code is elegant! || @lukasz-szewc also after adding the `timeunit` parameter to `delayedexection` ? could rebase your commits (`added one missing line` is not really the most expressive message) ) || i like the idea of starting the threads and await there readiness this might solve the timing issues an other option is to write an simplified scheduledexecutorservice with the same behavior as the delayedexecution of this pr this way the test can remain untouched and we have still the possibiliy run tasks with individual delay as required by one test  || 1 added `timeunit` to constructor2 reworked one of test in `verificationwithtimeouttest` mentioned above3 rebased and pushed with forcetake a look ||
619,0,1,0,1,1,0,0,0,0,1361.59629675846,548 from now on verification happens always call in other thre… should fix problems with #548 and #601     i am going to restart this build a couple of times to test the robustness || it could take a  while hopefully we have loopsin the meantime try this gist :  || got a failed travis job the culprit seems to be `orgmockitousageverificationverificationafterdelaytest > shouldverifynormallywithspecifictimes` || i have not touched `verificationafterdelaytest` in this pr || yes i know was merely stating that the travis failure we experienced was a different test nonetheless i think it is best if we aggregrate all test fixes in a pr to study the robustness would you be willing to do so? || yup another commit with `verificationafterdelaytest` changes take a look || great thanks will be restarting these changes a couple of times too really nice to have deterministic results now!    || im ok with the change even if the fact that the proposed test implementation is not completely deterministic its definitely an nifty improvement plus the test code is elegant! || @lukasz-szewc also after adding the `timeunit` parameter to `delayedexection` ? could rebase your commits (`added one missing line` is not really the most expressive message) ) || i like the idea of starting the threads and await there readiness this might solve the timing issues an other option is to write an simplified scheduledexecutorservice with the same behavior as the delayedexecution of this pr this way the test can remain untouched and we have still the possibiliy run tasks with individual delay as required by one test  || 1 added `timeunit` to constructor2 reworked one of test in `verificationwithtimeouttest` mentioned above3 rebased and pushed with forcetake a look ||
623,0,0,0,0,0,1,0,0,0,596,updated the javadocs polishing the javadocs starting with this small pr:issue #596- updated @since to 210 (instead 200)- added more docs around the verification collector     
623,1,1,1,1,1,1,1,0,0,1589.5578425593,updated the javadocs polishing the javadocs starting with this small pr:issue #596- updated @since to 210 (instead 200)- added more docs around the verification collector     
635,0,0,0,1,1,1,0,0,1,439,unified logic of argument matching and capturing the logic of argument matching and capturing is the same but can be found in argumentscomparator and invocationmatcher this pr unifies the decision logic how matchers are applied to argument+varargs by introducing a `matcherapplicationstrategy` this strategy can apply an action to an pair of argumentmatcher and argument one action is used to perform the argumentmatchermatches(arg) call and an other is used to perfrom the capturing- 439 argumentcaptor and argumentmatchers can now be mixed in varargs- fixes #583 no more npe when null is passed to an varargs - added 25 regression tests in varargstest (5 are ignored cause they belong to other issues and fail currently) - reduced logic duplication   the pr! || @bric3 > some adjustments can be made eg getargumenttype can be simplified to read the type arg on the class rather than looking at the method the mechanic remained unchanged in this rp i introduced it with #463 at first i tried to retrieve the type-argument from the class but this turned out to be more complex eg when the type-argument is bound in an upper class or interface or additional type-arguments were introduced on a matcher classanyway if you have an idea how to improve or simplify it let me now!> other improvements can be made later sounds good can you open a new ticket so i can take look || @mockito-core#606 can be closed now || > > other improvements can be made later> > sounds good can you open a new ticket so i can take lookat the moment this works quite well! so no hurry especially given your above remark on mockito 3 (on master atm) we could change the interface to allow reporting the type handled by the matcher and maybe use default method for that || @christianschwarz i have seen an interesting problem with `varargstest` fail on master which is jdk 8 only while the same test passes on release/2x which is compiled and run against 3 jdk 6/7/8 im not sure why at the moment this behavior is different  plus my dev laptop is being  for a few days so im limited in my debug right nowthis happened after a merge of release/2x to master (52df10af105b7e9cd45bf214141c5096db3ecafe)i noticed that `verify(mock)varargs(isnull())` is compiled to invoke `imethodsvarargs(string  string)` im not sure other jdks behave/compile differently though one of the failing test can be fixed by adding the cast statement```    @test    public void shouldmatchvarargs_nullarrayarg() {        object argarray  null        mockvarargs(argarray)        verify(mock)varargs((object) isnull()) // otherwise it is linked against string    }```could it be that something went wrong with the merge regarding this pr ? || @christianschwarz actually the investigation continue see  ||
635,1,1,0,1,1,1,0,0,0,1256.51225283056,unified logic of argument matching and capturing the logic of argument matching and capturing is the same but can be found in argumentscomparator and invocationmatcher this pr unifies the decision logic how matchers are applied to argument+varargs by introducing a `matcherapplicationstrategy` this strategy can apply an action to an pair of argumentmatcher and argument one action is used to perform the argumentmatchermatches(arg) call and an other is used to perfrom the capturing- 439 argumentcaptor and argumentmatchers can now be mixed in varargs- fixes #583 no more npe when null is passed to an varargs - added 25 regression tests in varargstest (5 are ignored cause they belong to other issues and fail currently) - reduced logic duplication   the pr! || @bric3 > some adjustments can be made eg getargumenttype can be simplified to read the type arg on the class rather than looking at the method the mechanic remained unchanged in this rp i introduced it with #463 at first i tried to retrieve the type-argument from the class but this turned out to be more complex eg when the type-argument is bound in an upper class or interface or additional type-arguments were introduced on a matcher classanyway if you have an idea how to improve or simplify it let me now!> other improvements can be made later sounds good can you open a new ticket so i can take look || @mockito-core#606 can be closed now || > > other improvements can be made later> > sounds good can you open a new ticket so i can take lookat the moment this works quite well! so no hurry especially given your above remark on mockito 3 (on master atm) we could change the interface to allow reporting the type handled by the matcher and maybe use default method for that || @christianschwarz i have seen an interesting problem with `varargstest` fail on master which is jdk 8 only while the same test passes on release/2x which is compiled and run against 3 jdk 6/7/8 im not sure why at the moment this behavior is different  plus my dev laptop is being  for a few days so im limited in my debug right nowthis happened after a merge of release/2x to master (52df10af105b7e9cd45bf214141c5096db3ecafe)i noticed that `verify(mock)varargs(isnull())` is compiled to invoke `imethodsvarargs(string  string)` im not sure other jdks behave/compile differently though one of the failing test can be fixed by adding the cast statement```    @test    public void shouldmatchvarargs_nullarrayarg() {        object argarray  null        mockvarargs(argarray)        verify(mock)varargs((object) isnull()) // otherwise it is linked against string    }```could it be that something went wrong with the merge regarding this pr ? || @christianschwarz actually the investigation continue see  ||
635,0,0,0,1,1,1,0,0,1,583,unified logic of argument matching and capturing the logic of argument matching and capturing is the same but can be found in argumentscomparator and invocationmatcher this pr unifies the decision logic how matchers are applied to argument+varargs by introducing a `matcherapplicationstrategy` this strategy can apply an action to an pair of argumentmatcher and argument one action is used to perform the argumentmatchermatches(arg) call and an other is used to perfrom the capturing- 439 argumentcaptor and argumentmatchers can now be mixed in varargs- fixes #583 no more npe when null is passed to an varargs - added 25 regression tests in varargstest (5 are ignored cause they belong to other issues and fail currently) - reduced logic duplication   the pr! || @bric3 > some adjustments can be made eg getargumenttype can be simplified to read the type arg on the class rather than looking at the method the mechanic remained unchanged in this rp i introduced it with #463 at first i tried to retrieve the type-argument from the class but this turned out to be more complex eg when the type-argument is bound in an upper class or interface or additional type-arguments were introduced on a matcher classanyway if you have an idea how to improve or simplify it let me now!> other improvements can be made later sounds good can you open a new ticket so i can take look || @mockito-core#606 can be closed now || > > other improvements can be made later> > sounds good can you open a new ticket so i can take lookat the moment this works quite well! so no hurry especially given your above remark on mockito 3 (on master atm) we could change the interface to allow reporting the type handled by the matcher and maybe use default method for that || @christianschwarz i have seen an interesting problem with `varargstest` fail on master which is jdk 8 only while the same test passes on release/2x which is compiled and run against 3 jdk 6/7/8 im not sure why at the moment this behavior is different  plus my dev laptop is being  for a few days so im limited in my debug right nowthis happened after a merge of release/2x to master (52df10af105b7e9cd45bf214141c5096db3ecafe)i noticed that `verify(mock)varargs(isnull())` is compiled to invoke `imethodsvarargs(string  string)` im not sure other jdks behave/compile differently though one of the failing test can be fixed by adding the cast statement```    @test    public void shouldmatchvarargs_nullarrayarg() {        object argarray  null        mockvarargs(argarray)        verify(mock)varargs((object) isnull()) // otherwise it is linked against string    }```could it be that something went wrong with the merge regarding this pr ? || @christianschwarz actually the investigation continue see  ||
635,1,1,0,1,1,1,0,0,0,1255.49618908556,unified logic of argument matching and capturing the logic of argument matching and capturing is the same but can be found in argumentscomparator and invocationmatcher this pr unifies the decision logic how matchers are applied to argument+varargs by introducing a `matcherapplicationstrategy` this strategy can apply an action to an pair of argumentmatcher and argument one action is used to perform the argumentmatchermatches(arg) call and an other is used to perfrom the capturing- 439 argumentcaptor and argumentmatchers can now be mixed in varargs- fixes #583 no more npe when null is passed to an varargs - added 25 regression tests in varargstest (5 are ignored cause they belong to other issues and fail currently) - reduced logic duplication   the pr! || @bric3 > some adjustments can be made eg getargumenttype can be simplified to read the type arg on the class rather than looking at the method the mechanic remained unchanged in this rp i introduced it with #463 at first i tried to retrieve the type-argument from the class but this turned out to be more complex eg when the type-argument is bound in an upper class or interface or additional type-arguments were introduced on a matcher classanyway if you have an idea how to improve or simplify it let me now!> other improvements can be made later sounds good can you open a new ticket so i can take look || @mockito-core#606 can be closed now || > > other improvements can be made later> > sounds good can you open a new ticket so i can take lookat the moment this works quite well! so no hurry especially given your above remark on mockito 3 (on master atm) we could change the interface to allow reporting the type handled by the matcher and maybe use default method for that || @christianschwarz i have seen an interesting problem with `varargstest` fail on master which is jdk 8 only while the same test passes on release/2x which is compiled and run against 3 jdk 6/7/8 im not sure why at the moment this behavior is different  plus my dev laptop is being  for a few days so im limited in my debug right nowthis happened after a merge of release/2x to master (52df10af105b7e9cd45bf214141c5096db3ecafe)i noticed that `verify(mock)varargs(isnull())` is compiled to invoke `imethodsvarargs(string  string)` im not sure other jdks behave/compile differently though one of the failing test can be fixed by adding the cast statement```    @test    public void shouldmatchvarargs_nullarrayarg() {        object argarray  null        mockvarargs(argarray)        verify(mock)varargs((object) isnull()) // otherwise it is linked against string    }```could it be that something went wrong with the merge regarding this pr ? || @christianschwarz actually the investigation continue see  ||
639,0,0,0,0,1,1,0,0,1,520,update travis configuration to also build on oraclejdk9 lets see if this actually works testing for #520   639 theres a new build || > also shall we update jacoco snapshot theres a new buildi would rather wait for the official 078 release and upgrade to that || ok fair enough ) || shalli merge this one? || yes || 
639,1,1,1,1,1,1,1,0,0,1511.26638484237,update travis configuration to also build on oraclejdk9 lets see if this actually works testing for #520   639 theres a new build || > also shall we update jacoco snapshot theres a new buildi would rather wait for the official 078 release and upgrade to that || ok fair enough ) || shalli merge this one? || yes || 
646,1,1,0,1,1,1,1,0,1,640,640 warns user to upgrade if java 8 version is to low 640 warns user to upgrade if java 8 version is to lowalso took the opportunity to log other platform details if mock class cannot be created before merging not that automatic release system will release a 210rc2 ||   646   some test for platform would be nice especially too see if the version number extraction works with all known formats eg : - feature -> 180-b24- maintai ce -> 141_05-ea-b01- update -> 140_03-b04  140_03-ea-b01 does it work for other jvms like jrockit j9 or excelsior jet? || ok thanks for feedback ill update the code accordingly || beautiful!!! we can push and generate new rc or use the magic incantation in the commit message to prevent release and stack this change to next rc (if there is need for yet another rc) || @christianschwarz we dont care about those as we dont have report on those only oracle / openjdk although i dont know about their version scheme- bea (now oracle) jrockit > discontinued last version is java 6 and oracle migrated features in oracle jdk- ibm j9- excelsior jet - azul zing > ?- azul zulu > based on openjdk || @bric3 what i wanted to say was: the update version mechanism should be aware of version schemes other than the expected  the current implementation throws an indexoutofboundsexception if the jvm_version is eg  "180b5_u44" or an numberformatexception if the jvm_version is "140_03-ea-b01"  || @christianschwarz fantastic review  @christianschwarz yes no problem that was a valuable input i didnt want these exceptions to be thrown !i updated the test case and i did some research as well for future cases like this || wow really nice tests!!   this  
646,1,1,0,1,1,1,0,0,0,1190.58476348294,640 warns user to upgrade if java 8 version is to low 640 warns user to upgrade if java 8 version is to lowalso took the opportunity to log other platform details if mock class cannot be created before merging not that automatic release system will release a 210rc2 ||   646   some test for platform would be nice especially too see if the version number extraction works with all known formats eg : - feature -> 180-b24- maintai ce -> 141_05-ea-b01- update -> 140_03-b04  140_03-ea-b01 does it work for other jvms like jrockit j9 or excelsior jet? || ok thanks for feedback ill update the code accordingly || beautiful!!! we can push and generate new rc or use the magic incantation in the commit message to prevent release and stack this change to next rc (if there is need for yet another rc) || @christianschwarz we dont care about those as we dont have report on those only oracle / openjdk although i dont know about their version scheme- bea (now oracle) jrockit > discontinued last version is java 6 and oracle migrated features in oracle jdk- ibm j9- excelsior jet - azul zing > ?- azul zulu > based on openjdk || @bric3 what i wanted to say was: the update version mechanism should be aware of version schemes other than the expected  the current implementation throws an indexoutofboundsexception if the jvm_version is eg  "180b5_u44" or an numberformatexception if the jvm_version is "140_03-ea-b01"  || @christianschwarz fantastic review  @christianschwarz yes no problem that was a valuable input i didnt want these exceptions to be thrown !i updated the test case and i did some research as well for future cases like this || wow really nice tests!!   this  
654,0,0,0,0,1,1,0,0,0,653,renamed failuredetecter to failure detector also renamed misspelled issussessful() to issuccessful()fixes: #653     thanks oliver! ||
654,1,1,0,1,1,1,0,0,0,1218.9115223721,renamed failuredetecter to failure detector also renamed misspelled issussessful() to issuccessful()fixes: #653     thanks oliver! ||
711,0,0,0,0,1,0,0,0,0,707,707 adds throwable to arity answers also improved javadoc all in the title this should 707 lgtm restarted the build that was failing on an unrelated test ||  
711,1,1,1,1,1,1,1,0,0,1531.26800029429,707 adds throwable to arity answers also improved javadoc all in the title this should 707 lgtm restarted the build that was failing on an unrelated test ||  
746,1,1,1,1,1,1,1,1,1,727,add missing copyright headers -  727 -  add missing copyrights using [license-gradle-plugin](  updated only source files test files were skipped existing copyright headers were not modified unfortunately the plug-in is not compiled for java 6i really would like to avoid as much as possible maintaining 2x too long || however i suppose we can change the jdk that gradle use if this is a separate task in traviswhy a separate task because if gradle runs the under the code under another jdk we may miss specific jdk 6 runtime behavior || per  we can use version 0110 and make it work on jdk6 || good point lets do that instead @dmitriyzaitsev could you amend b27af329e91743e945e5971a3e5b7a4f839d0f03 with the working version? thanks in advance || @dmitriyzaitsev by id like to say you have done a proper pull request thats very nice! ||  
746,0,1,0,1,1,0,0,0,0,1361.86206490125,add missing copyright headers -  727 -  add missing copyrights using [license-gradle-plugin](  updated only source files test files were skipped existing copyright headers were not modified unfortunately the plug-in is not compiled for java 6i really would like to avoid as much as possible maintaining 2x too long || however i suppose we can change the jdk that gradle use if this is a separate task in traviswhy a separate task because if gradle runs the under the code under another jdk we may miss specific jdk 6 runtime behavior || per  we can use version 0110 and make it work on jdk6 || good point lets do that instead @dmitriyzaitsev could you amend b27af329e91743e945e5971a3e5b7a4f839d0f03 with the working version? thanks in advance || @dmitriyzaitsev by id like to say you have done a proper pull request thats very nice! ||  
771,1,0,0,0,0,1,0,0,1,731,731 implements retry rule for flaky tests previous attempts at fixing the time related tests failed indeed the previous attempts are not bullet proof when the ci can run schedule some threads slower than _expected_a proper harness should be implemented but in the meantime i implemented the retry rule as proposed in #731 to gain back stability on the build  
771,1,1,0,1,1,1,0,0,1,746.26806360342,731 implements retry rule for flaky tests previous attempts at fixing the time related tests failed indeed the previous attempts are not bullet proof when the ci can run schedule some threads slower than _expected_a proper harness should be implemented but in the meantime i implemented the retry rule as proposed in #731 to gain back stability on the build  
803,1,0,0,1,1,1,0,0,1,801,adds a warning for ibm j9 vms if mock generation fails related to #801 this pr simply adds a warning for ibm j9 vms if the mock maker fails  
803,1,0,0,0,1,0,0,0,0,1702.11423206814,adds a warning for ibm j9 vms if mock generation fails related to #801 this pr simply adds a warning for ibm j9 vms if the mock maker fails  
807,1,0,0,0,0,1,0,0,0,770,new opt-in stubbing strictness implemented in junit rules new api (for rationale see #769 for code review history see #770):```java//existing api:@rule public mockitorule mockito  mockitojunitrule()//proposed improvements:rule()strictness(strictnesslenient)rule()strictness(strictnesswarn)       // <-- is the defaultrule()strictness(strictnessstrict_stubs)  // <-- mockito 30 default```what "strict stubbing" means?- improved debuggability: the test fails early when code under test invokes stubbed method with different arguments- cleaner tests without unnecessary stubbings: the test fails when there are any unused stubs declared- cleaner more dry tests ("dont repeat yourself"): if you use mockitoverifynomoreinteractions() you no longer need to explicitly verify stubbed invocations they are automatically verifiedfor background and motivation check out [szczepans article on linkedin](https://wwwlinkedincom/pulse/curious-how-get-even-cleaner-tests-new-mockito-features-faber) with interactive rebase you can squash commits away or use `git reset --soft head~2` to reset the last 2 commits    ||   
807,1,1,1,0,1,1,1,0,0,148.964451899767,new opt-in stubbing strictness implemented in junit rules new api (for rationale see #769 for code review history see #770):```java//existing api:@rule public mockitorule mockito  mockitojunitrule()//proposed improvements:rule()strictness(strictnesslenient)rule()strictness(strictnesswarn)       // <-- is the defaultrule()strictness(strictnessstrict_stubs)  // <-- mockito 30 default```what "strict stubbing" means?- improved debuggability: the test fails early when code under test invokes stubbed method with different arguments- cleaner tests without unnecessary stubbings: the test fails when there are any unused stubs declared- cleaner more dry tests ("dont repeat yourself"): if you use mockitoverifynomoreinteractions() you no longer need to explicitly verify stubbed invocations they are automatically verifiedfor background and motivation check out [szczepans article on linkedin](https://wwwlinkedincom/pulse/curious-how-get-even-cleaner-tests-new-mockito-features-faber) with interactive rebase you can squash commits away or use `git reset --soft head~2` to reset the last 2 commits    ||   
821,1,0,0,1,1,1,1,0,0,820,820 returnsargat to handle returning vararg as arrays attempt at fixing #820basically it makes the returnsargumentat answer a bit more smart about varargs but im not satisfied with the fix yet  
821,1,1,1,0,1,1,1,0,0,285.521646395587,820 returnsargat to handle returning vararg as arrays attempt at fixing #820basically it makes the returnsargumentat answer a bit more smart about varargs but im not satisfied with the fix yet  
823,1,1,0,1,1,1,1,0,1,818,only resolve instrumented method after validating that an instance is… this is both a performance improvement and a way of ensuring that no stack overflow error occurs upon looking up a `method` instance which requires using a `hashmap` which causes an infitite loop upon mocking the hash map type 818  
823,1,1,1,1,1,1,1,0,1,2090.08244930174,only resolve instrumented method after validating that an instance is… this is both a performance improvement and a way of ensuring that no stack overflow error occurs upon looking up a `method` instance which requires using a `hashmap` which causes an infitite loop upon mocking the hash map type 818  
826,0,0,0,1,1,1,1,0,1,820,introduce validable answers for early validation of stubbing ## overviewcustom answers are now more robust - users can add add validation logic to the answer implementation it can validate the return type early during stubbing in test rather than fail late during execution of code under test mockito team uses this api behind the hood for all custom implementations of answer interface now advanced users can leverage this new api too!```javaclass mycustomanswer implements answer validableanswer { // <-- note extra "validableanswer" interface  public object answer(invocationonmock invocation) {    // answer implementation  }  public void validatefor(invocationonmock invocation) {    // throw mockitoexception if answer cannot be applied to given invocation  }}``` ## implementationwhile trying to 820 / #821 i noticed that `answersvalidator` knew too much about other answers to fix the design issue i propose the following design :* introduce `validableanswer` in public api which is a single method interface that doesnt extends `answer`* each answer that wants to be validated hence implement this interfacebenefit reduced visibility of some methods in these answers each new answer that want to be validated can just by implementing the new contractvalidating returned value of a mocks default answer had to be handled differently   
826,1,1,0,1,1,1,0,0,0,1252.89591510024,introduce validable answers for early validation of stubbing ## overviewcustom answers are now more robust - users can add add validation logic to the answer implementation it can validate the return type early during stubbing in test rather than fail late during execution of code under test mockito team uses this api behind the hood for all custom implementations of answer interface now advanced users can leverage this new api too!```javaclass mycustomanswer implements answer validableanswer { // <-- note extra "validableanswer" interface  public object answer(invocationonmock invocation) {    // answer implementation  }  public void validatefor(invocationonmock invocation) {    // throw mockitoexception if answer cannot be applied to given invocation  }}``` ## implementationwhile trying to 820 / #821 i noticed that `answersvalidator` knew too much about other answers to fix the design issue i propose the following design :* introduce `validableanswer` in public api which is a single method interface that doesnt extends `answer`* each answer that wants to be validated hence implement this interfacebenefit reduced visibility of some methods in these answers each new answer that want to be validated can just by implementing the new contractvalidating returned value of a mocks default answer had to be handled differently   
830,0,0,0,0,0,1,1,0,0,822,improves exception message in case a matcher is used for a primitive parameter this should help for cases like #822 npe can be raised by the jvm on the callsite of a matcher returning object like `any()`the thing is that the jvm does several thing like to allows a type to match a signature like `<t> t any()` type inference with java 8 cast and unboxing however `any()` can only return `null` so the jvm raises an npe on the cast opcode of course the problem isnt new but more possible due to java 8 flexibility thats why mockito had for a long time the primitivewhen mockito is used with the junit runner or the junit rule theres a `invaliduseofmatchersexception` raised **after** the npe with a message about misplaced matchers this exception is raised because the matchers were not consumed by the mock since the npe is raised first so this exception is correct and can help the neophyte to discover the primitive variant like `anyint()` i love this change! the description of the pr is really good i immediately was able to understand the use case mockito is great because we never stop improving the ux - the exception messages and suchbig 
830,1,0,0,0,1,0,0,0,0,1762.71677589399,improves exception message in case a matcher is used for a primitive parameter this should help for cases like #822 npe can be raised by the jvm on the callsite of a matcher returning object like `any()`the thing is that the jvm does several thing like to allows a type to match a signature like `<t> t any()` type inference with java 8 cast and unboxing however `any()` can only return `null` so the jvm raises an npe on the cast opcode of course the problem isnt new but more possible due to java 8 flexibility thats why mockito had for a long time the primitivewhen mockito is used with the junit runner or the junit rule theres a `invaliduseofmatchersexception` raised **after** the npe with a message about misplaced matchers this exception is raised because the matchers were not consumed by the mock since the npe is raised first so this exception is correct and can help the neophyte to discover the primitive variant like `anyint()` i love this change! the description of the pr is really good i immediately was able to understand the use case mockito is great because we never stop improving the ux - the exception messages and suchbig 
831,1,0,0,1,1,1,0,0,1,825,test clean up according to discussions for rememberinglisteners according to issue @719 we wanted to clean up the tests for rememberinglistenersthe tests should follow the same style and conventionsset up should not contain variables used by all the testswe previously had another pr for this in #825 that build was failing for some reason not obvious and had 1 merge commit that we wanted to remove in an attempt to rebase and reset the history github lost the connection to the remote fork instead of spending time investigating i just created a new pr     @bric3 @timvdlippe sorry for this new pr with the same code previously we were discussing #825 in an attempt to fix the pr github lost the link and i couldnt reconnect it this pr is building and has only one commit message and no merge || looks good to me thanks for the improvement ||
831,1,1,0,1,1,1,0,0,0,1002.83512211236,test clean up according to discussions for rememberinglisteners according to issue @719 we wanted to clean up the tests for rememberinglistenersthe tests should follow the same style and conventionsset up should not contain variables used by all the testswe previously had another pr for this in #825 that build was failing for some reason not obvious and had 1 merge commit that we wanted to remove in an attempt to rebase and reset the history github lost the connection to the remote fork instead of spending time investigating i just created a new pr     @bric3 @timvdlippe sorry for this new pr with the same code previously we were discussing #825 in an attempt to fix the pr github lost the link and i couldnt reconnect it this pr is building and has only one commit message and no merge || looks good to me thanks for the improvement ||
839,1,0,0,0,1,1,1,0,1,838,838 : adds a matches(pattern) following discussion in #838 it is sensible to add a mockito matcher that can take a `pattern` as an argumentthe usage is the same as `matches(string)````javawhen(mockonearg(matches(patterncompile("[a-z]+\\d\\d"))))thenreturn()```although it allows to build more complex regex especially with regular expression flags @mockito/core since the pr is fairly in scope amd fairly straightforward limited ill merge it right away || >@mockito/core since the pr is fairly in scope amd fairly straightforward limited ill merge it right awayabsolutelyupdating the public api needs review from other team mates but in this case its best to move fast its an overloaded method very natural complement to the existing one thanks @bric3! || yes exactly :) ||
