prNumber,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Microservices,UI,Parser,Security,Big.Data,Event.Handling,corpus
HX23286,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1, while configuring recurrence priority  cus gui does not support po searching by any unique id like hid or poid.  in veon fcr project we keep recreating tariff pos(bundle pos) with the same name  since the name and description should be as per the customer requirement. so it becomes really hard to identify the po for which we need to configure recurrence priority.  screen shot having same po name attached. po search should support po id(uuid) based  or hid based since they are the unique ones. if that is not feasible within a tr scope atleast the sorting based on lastmodified date should be applied on the po list and the lastmodified date should be shown. similar fix was already given by rmca on the po export  the reference tr is hx19683   po search at "product priorities" should support hid or po id based search since they are the unique ones
HX23286,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, while configuring recurrence priority  cus gui does not support po searching by any unique id like hid or poid.  in veon fcr project we keep recreating tariff pos(bundle pos) with the same name  since the name and description should be as per the customer requirement. so it becomes really hard to identify the po for which we need to configure recurrence priority.  screen shot having same po name attached. po search should support po id(uuid) based  or hid based since they are the unique ones. if that is not feasible within a tr scope atleast the sorting based on lastmodified date should be applied on the po list and the lastmodified date should be shown. similar fix was already given by rmca on the po export  the reference tr is hx19683   po search at "product priorities" should support hid or po id based search since they are the unique ones
HX24580,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1 effect its possible to configure something that will fail execution in cha. buc affected ft14-5:4 and 9b-11 . detailed trouble description the test data use case in 9b-11 is looking at sharing limits in a balance condition and using that as a switch to give different price depending on the individual limit.  cha have never expected this to work and have not implemented support for sharing limits in balance condition and have missed that the feature was used in 9b-11. this have been possible (at least in rmca) to configure since ft14-5:4.  after a discussion between cha/rmca/oap we have come to the conclusion that it doesnt actually make sense to use the limits in that way  it will not work in most cases and it is very hard to explain all the limitations around it. instead the a balance condition should look at the available shared resources where the both the common and individual limit is an implicit part of it. 3 measures rmca needs to :  update the test data use-case for 9b-11 to use the availible units condition to look at the shared resource tag (communitysms) instead of the shared limit as previously described in the document (the all document should be up to date now).  implement the configuration limitation in rmca to not be able to pick shared limits in either of the balance conditions in any rule.  the gui limitation should be back ported to when ft14-5:4 was released. 3.1. workaround and recovery
HX24580,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1 effect its possible to configure something that will fail execution in cha. buc affected ft14-5:4 and 9b-11 . detailed trouble description the test data use case in 9b-11 is looking at sharing limits in a balance condition and using that as a switch to give different price depending on the individual limit.  cha have never expected this to work and have not implemented support for sharing limits in balance condition and have missed that the feature was used in 9b-11. this have been possible (at least in rmca) to configure since ft14-5:4.  after a discussion between cha/rmca/oap we have come to the conclusion that it doesnt actually make sense to use the limits in that way  it will not work in most cases and it is very hard to explain all the limitations around it. instead the a balance condition should look at the available shared resources where the both the common and individual limit is an implicit part of it. 3 measures rmca needs to :  update the test data use-case for 9b-11 to use the availible units condition to look at the shared resource tag (communitysms) instead of the shared limit as previously described in the document (the all document should be up to date now).  implement the configuration limitation in rmca to not be able to pick shared limits in either of the balance conditions in any rule.  the gui limitation should be back ported to when ft14-5:4 was released. 3.1. workaround and recovery
HX24580,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1 effect its possible to configure something that will fail execution in cha. buc affected ft14-5:4 and 9b-11 . detailed trouble description the test data use case in 9b-11 is looking at sharing limits in a balance condition and using that as a switch to give different price depending on the individual limit.  cha have never expected this to work and have not implemented support for sharing limits in balance condition and have missed that the feature was used in 9b-11. this have been possible (at least in rmca) to configure since ft14-5:4.  after a discussion between cha/rmca/oap we have come to the conclusion that it doesnt actually make sense to use the limits in that way  it will not work in most cases and it is very hard to explain all the limitations around it. instead the a balance condition should look at the available shared resources where the both the common and individual limit is an implicit part of it. 3 measures rmca needs to :  update the test data use-case for 9b-11 to use the availible units condition to look at the shared resource tag (communitysms) instead of the shared limit as previously described in the document (the all document should be up to date now).  implement the configuration limitation in rmca to not be able to pick shared limits in either of the balance conditions in any rule.  the gui limitation should be back ported to when ft14-5:4 was released. 3.1. workaround and recovery
HX24614,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1, trouble summary when doing import from gui  the only message that is given is "import finished with errors  but there are no error  just an empty file. so i did it with curl  and there i got an error back that describes the issue.     . detailed trouble description curl -x post --data "@rmca_20180906125612510.json" localhost:13180/rmca/rest/import -h "content-type: application/json" {"status":400 "code":1028 "message":"entity of type resourcespecification with id d08e2b96-f317-4d9d-a604-962010163dd9 already exists in target but does not have any version in common with source." "details":{"entities":[{"entityid":"d08e2b96-f317-4d9d-a604-962010163dd9" "entitytype":"resourcespecification"}]}}   . workaround and recovery
HX24614,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0, trouble summary when doing import from gui  the only message that is given is "import finished with errors  but there are no error  just an empty file. so i did it with curl  and there i got an error back that describes the issue.     . detailed trouble description curl -x post --data "@rmca_20180906125612510.json" localhost:13180/rmca/rest/import -h "content-type: application/json" {"status":400 "code":1028 "message":"entity of type resourcespecification with id d08e2b96-f317-4d9d-a604-962010163dd9 already exists in target but does not have any version in common with source." "details":{"entities":[{"entityid":"d08e2b96-f317-4d9d-a604-962010163dd9" "entitytype":"resourcespecification"}]}}   . workaround and recovery
HX24614,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, trouble summary when doing import from gui  the only message that is given is "import finished with errors  but there are no error  just an empty file. so i did it with curl  and there i got an error back that describes the issue.     . detailed trouble description curl -x post --data "@rmca_20180906125612510.json" localhost:13180/rmca/rest/import -h "content-type: application/json" {"status":400 "code":1028 "message":"entity of type resourcespecification with id d08e2b96-f317-4d9d-a604-962010163dd9 already exists in target but does not have any version in common with source." "details":{"entities":[{"entityid":"d08e2b96-f317-4d9d-a604-962010163dd9" "entitytype":"resourcespecification"}]}}   . workaround and recovery
HX25348,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0, trouble summary faulty checksum in the following releases baseconfiguration-0.31.1 baseconfiguration-0.32.0 . detailed trouble description fix it . workaround and recovery
HX25348,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1, trouble summary faulty checksum in the following releases baseconfiguration-0.31.1 baseconfiguration-0.32.0 . detailed trouble description fix it . workaround and recovery
HX25348,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0, trouble summary faulty checksum in the following releases baseconfiguration-0.31.1 baseconfiguration-0.32.0 . detailed trouble description fix it . workaround and recovery
HX27397,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0, trouble summary 1. importing of use cases cash is king and fast & furious works but not able to open the entities in the use case. . detailed trouble description msv 5.1.0 cil 3.6.2 cus 1.24.1 rmca 24.42.2  1. import use cases fast & furious and cash is king from rmca configuration 0.178 2. try to open pbs fast and furious data or rs babs cash is king  the gui crashes. attached the error in enclosures.    . workaround and recovery
HX27397,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0, trouble summary 1. importing of use cases cash is king and fast & furious works but not able to open the entities in the use case. . detailed trouble description msv 5.1.0 cil 3.6.2 cus 1.24.1 rmca 24.42.2  1. import use cases fast & furious and cash is king from rmca configuration 0.178 2. try to open pbs fast and furious data or rs babs cash is king  the gui crashes. attached the error in enclosures.    . workaround and recovery
HX27397,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0, trouble summary 1. importing of use cases cash is king and fast & furious works but not able to open the entities in the use case. . detailed trouble description msv 5.1.0 cil 3.6.2 cus 1.24.1 rmca 24.42.2  1. import use cases fast & furious and cash is king from rmca configuration 0.178 2. try to open pbs fast and furious data or rs babs cash is king  the gui crashes. attached the error in enclosures.    . workaround and recovery
HX27740,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1 effect the problem is that it is not possible to activate an entity that is based on a child entity that is set to be discontinued.  also the discontinued ux is not aligend to rm ux pattern. 2 description create a new physical resource spec(prs) and relate this to another active prs that has a discountinued date set.  the newly create prs is not possible to activate.   . workaround and recovery
HX27740,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1 effect the problem is that it is not possible to activate an entity that is based on a child entity that is set to be discontinued.  also the discontinued ux is not aligend to rm ux pattern. 2 description create a new physical resource spec(prs) and relate this to another active prs that has a discountinued date set.  the newly create prs is not possible to activate.   . workaround and recovery
HX27740,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1 effect the problem is that it is not possible to activate an entity that is based on a child entity that is set to be discontinued.  also the discontinued ux is not aligend to rm ux pattern. 2 description create a new physical resource spec(prs) and relate this to another active prs that has a discountinued date set.  the newly create prs is not possible to activate.   . workaround and recovery
HX28161,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1 effect rmca ui not possible to set external id for general logic spec   2 description in the logical resource configuration creating a general logical spec it is not possible to set a external id    . workaround and recovery
HX28161,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1 effect rmca ui not possible to set external id for general logic spec   2 description in the logical resource configuration creating a general logical spec it is not possible to set a external id    . workaround and recovery
HX28161,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1 effect rmca ui not possible to set external id for general logic spec   2 description in the logical resource configuration creating a general logical spec it is not possible to set a external id    . workaround and recovery
HX28483,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1 effect the payload sent to the @put and @post /validate endpoints will not be included in the trace.   2 description the payload is not included in the traceinfo object that is created when a request is made.   3 measures the payload should be included in the traceinfo so that it shows up in the tracing.
HX28483,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1 effect the payload sent to the @put and @post /validate endpoints will not be included in the trace.   2 description the payload is not included in the traceinfo object that is created when a request is made.   3 measures the payload should be included in the traceinfo so that it shows up in the tracing.
HX28483,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1 effect the payload sent to the @put and @post /validate endpoints will not be included in the trace.   2 description the payload is not included in the traceinfo object that is created when a request is made.   3 measures the payload should be included in the traceinfo so that it shows up in the tracing.
HX29089,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0, it should not be possible to add the "pricelogicparamter" annotation on translated characteristics  in rmca it is possible on a translated characteristic on ps level to add "pricelogicparameter" annotation. this doesnt work in cha as they are looking for the source characteristic on ps level for all characteristics that have "pricelogicparameter" annotation. it was never intended that is should be possible to add the annotation for translated characteristics and this needs to be prevented. rmca needs to remove the possibility to add the annotation for translated characteristics. both from the gui and having a backend validation for it. this feature was used for the test data of ft23-69 so this needs to be updated and instead use css characteristics for it price determining. the slides will be updated as part of the oap tr. this fix should be backported to 18.3   update test data and gui and backend validation.
HX29089,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0, it should not be possible to add the "pricelogicparamter" annotation on translated characteristics  in rmca it is possible on a translated characteristic on ps level to add "pricelogicparameter" annotation. this doesnt work in cha as they are looking for the source characteristic on ps level for all characteristics that have "pricelogicparameter" annotation. it was never intended that is should be possible to add the annotation for translated characteristics and this needs to be prevented. rmca needs to remove the possibility to add the annotation for translated characteristics. both from the gui and having a backend validation for it. this feature was used for the test data of ft23-69 so this needs to be updated and instead use css characteristics for it price determining. the slides will be updated as part of the oap tr. this fix should be backported to 18.3   update test data and gui and backend validation.
HX29089,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1, it should not be possible to add the "pricelogicparamter" annotation on translated characteristics  in rmca it is possible on a translated characteristic on ps level to add "pricelogicparameter" annotation. this doesnt work in cha as they are looking for the source characteristic on ps level for all characteristics that have "pricelogicparameter" annotation. it was never intended that is should be possible to add the annotation for translated characteristics and this needs to be prevented. rmca needs to remove the possibility to add the annotation for translated characteristics. both from the gui and having a backend validation for it. this feature was used for the test data of ft23-69 so this needs to be updated and instead use css characteristics for it price determining. the slides will be updated as part of the oap tr. this fix should be backported to 18.3   update test data and gui and backend validation.
HX30279,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0, trouble summary physical resources missing in statistics (cus dashboard) physical resources missing in export   . detailed trouble description see attached screenshots    . workaround and recovery
HX30279,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1, trouble summary physical resources missing in statistics (cus dashboard) physical resources missing in export   . detailed trouble description see attached screenshots    . workaround and recovery
HX30279,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0, trouble summary physical resources missing in statistics (cus dashboard) physical resources missing in export   . detailed trouble description see attached screenshots    . workaround and recovery
HX30393,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0, trouble summary the errorcode parameters order is disregarded in the validationerrors tostring() method.   . detailed trouble description the method currently puts the parameters in the order they appear in a hashmap  which is unordered.   . workaround and recovery n/a
HX30393,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0, trouble summary the errorcode parameters order is disregarded in the validationerrors tostring() method.   . detailed trouble description the method currently puts the parameters in the order they appear in a hashmap  which is unordered.   . workaround and recovery n/a
HX30393,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, trouble summary the errorcode parameters order is disregarded in the validationerrors tostring() method.   . detailed trouble description the method currently puts the parameters in the order they appear in a hashmap  which is unordered.   . workaround and recovery n/a
HX30583,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1 effect the buckettagset list does not reflect the amount of active buckettags in the system. this could cause unforseen consequences. . detailed trouble description to reproduce on a cluster import a buckettag buckettagset relationto is not updated with the imported buckettag see video for reference   . workaround and recovery
HX30583,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1 effect the buckettagset list does not reflect the amount of active buckettags in the system. this could cause unforseen consequences. . detailed trouble description to reproduce on a cluster import a buckettag buckettagset relationto is not updated with the imported buckettag see video for reference   . workaround and recovery
HX30583,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1 effect the buckettagset list does not reflect the amount of active buckettags in the system. this could cause unforseen consequences. . detailed trouble description to reproduce on a cluster import a buckettag buckettagset relationto is not updated with the imported buckettag see video for reference   . workaround and recovery
HX31479,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1, trouble summary when sending update requests on a po and not including translatable fields  an indexoutofboundsexception is thrown. . detailed trouble description to reproduce: 1. create a po 2. send an update request over cm on the po without including translatablefields . workaround and recovery if translatablefields can be included  they should be  but it should not be required.
HX31479,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1, trouble summary when sending update requests on a po and not including translatable fields  an indexoutofboundsexception is thrown. . detailed trouble description to reproduce: 1. create a po 2. send an update request over cm on the po without including translatablefields . workaround and recovery if translatablefields can be included  they should be  but it should not be required.
HX31479,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0, trouble summary when sending update requests on a po and not including translatable fields  an indexoutofboundsexception is thrown. . detailed trouble description to reproduce: 1. create a po 2. send an update request over cm on the po without including translatablefields . workaround and recovery if translatablefields can be included  they should be  but it should not be required.
HX32562,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0, trouble summary casues usage rules to be inaccessible and in a corrupted state. 2 description create a ps connect to a voice cfss create a new a service usage rule in the rule builder crate a global condition with bucket balance or available units. dra the condition to the canvas and add create value add a random action as save the rule and the ps  - do not activate in the same ps edit the service usage strategy that was just created and edit the condition by changing a setting within that. for example change from billing account to bucket tag. save the new condition. there will be some warnings displayed explaining that existing values will be deleted. save the rule now the rule is broken  it is not possible to edit it again.   . workaround and recovery
HX32562,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1, trouble summary casues usage rules to be inaccessible and in a corrupted state. 2 description create a ps connect to a voice cfss create a new a service usage rule in the rule builder crate a global condition with bucket balance or available units. dra the condition to the canvas and add create value add a random action as save the rule and the ps  - do not activate in the same ps edit the service usage strategy that was just created and edit the condition by changing a setting within that. for example change from billing account to bucket tag. save the new condition. there will be some warnings displayed explaining that existing values will be deleted. save the rule now the rule is broken  it is not possible to edit it again.   . workaround and recovery
HX32562,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, trouble summary casues usage rules to be inaccessible and in a corrupted state. 2 description create a ps connect to a voice cfss create a new a service usage rule in the rule builder crate a global condition with bucket balance or available units. dra the condition to the canvas and add create value add a random action as save the rule and the ps  - do not activate in the same ps edit the service usage strategy that was just created and edit the condition by changing a setting within that. for example change from billing account to bucket tag. save the new condition. there will be some warnings displayed explaining that existing values will be deleted. save the rule now the rule is broken  it is not possible to edit it again.   . workaround and recovery
HX32771,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0, trouble summary in a prs cus ui it is not possible to choose the relation type for related entities like another physical- or identification resources. . detailed trouble description go to physical resource specs create new prs in the new spec select relations and drop other spec in the relations dropzone. here is the problem. it should be possible to select per spec wheather the relation type shall be contains or requires     3 measures
HX32771,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0, trouble summary in a prs cus ui it is not possible to choose the relation type for related entities like another physical- or identification resources. . detailed trouble description go to physical resource specs create new prs in the new spec select relations and drop other spec in the relations dropzone. here is the problem. it should be possible to select per spec wheather the relation type shall be contains or requires     3 measures
HX32771,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0, trouble summary in a prs cus ui it is not possible to choose the relation type for related entities like another physical- or identification resources. . detailed trouble description go to physical resource specs create new prs in the new spec select relations and drop other spec in the relations dropzone. here is the problem. it should be possible to select per spec wheather the relation type shall be contains or requires     3 measures
HX32999,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1 effect unsupported bucket operation under auto-replenishment in capv2. 2 description  use-case: capv2 traffic running while deducting seconds from product bucket. once product bucket runs out of seconds it shall be auto-replenished with 5 minutes and a fee of 7 usd should be deducted from billing account. however  unsupported bucket operation exception is received instead of expected flow (logsnap.png and chatrace.zip). . workaround and recovery
HX32999,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1 effect unsupported bucket operation under auto-replenishment in capv2. 2 description  use-case: capv2 traffic running while deducting seconds from product bucket. once product bucket runs out of seconds it shall be auto-replenished with 5 minutes and a fee of 7 usd should be deducted from billing account. however  unsupported bucket operation exception is received instead of expected flow (logsnap.png and chatrace.zip). . workaround and recovery
HX32999,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1 effect unsupported bucket operation under auto-replenishment in capv2. 2 description  use-case: capv2 traffic running while deducting seconds from product bucket. once product bucket runs out of seconds it shall be auto-replenished with 5 minutes and a fee of 7 usd should be deducted from billing account. however  unsupported bucket operation exception is received instead of expected flow (logsnap.png and chatrace.zip). . workaround and recovery
HX33655,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1 effect not possible to show po details for bronzeline and doubleup pos in our test configuration. 1.1 trouble summary when  trying to show details for bronzeline and doubleup pos no information is displayed. pos for the same configuration we have used for a long time.   . detailed trouble description a null pointer exception appears in the developer tools  see below  following versions are installed: name                  version  delta  active --------------------  -------  -----  ------ base-orch             1.6.1           true baseimage-vmdk        2.8.2           true cil                   3.7.1           true cus                   1.24.0          true msv-adm               5.3.1           true msv-auth              5.3.1           true msv-cfg               5.3.1           true msv-idm               5.3.1           true msv-lgm               5.3.1           true msv-suf               5.3.1           true ngee-base             1.6.1           true ngee-karaf            1.6.1           true privacymanagement     1.0.0           true rmbasekarafstateful   2.4.0           true rmbasekarafstateless  2.4.0           true rmca                  24.44.1         true rmca-cus-ui           1.18.0          true rmcaread              24.44.1         true trm                   1.13.1          true trm-cus-ui            1.6.1           true ums                   3.3.1           true  output in developer tool:  {result: "error" } message: "java.lang.nullpointerexception  at com.ericsson.bss.rmca.restserviceimpl.internal.pages.po.slimcampaign.lambda$new$0(slimcampaign.java:138)  at java.util.stream.matchops$1matchsink.accept(matchops.java:90)  at java.util.arraylist$arraylistspliterator.tryadvance(arraylist.java:1359)  at java.util.stream.referencepipeline.foreachwithcancel(referencepipeline.java:126)  at java.util.stream.abstractpipeline.copyintowithcancel(abstractpipeline.java:498)  at java.util.stream.abstractpipeline.copyinto(abstractpipeline.java:485)  at java.util.stream.abstractpipeline.wrapandcopyinto(abstractpipeline.java:471)  at java.util.stream.matchops$matchop.evaluatesequential(matchops.java:230)  at java.util.stream.matchops$matchop.evaluatesequential(matchops.java:196)  at java.util.stream.abstractpipeline.evaluate(abstractpipeline.java:234)  at java.util.stream.referencepipeline.anymatch(referencepipeline.java:449)  at com.ericsson.bss.rmca.restserviceimpl.internal.pages.po.slimcampaign.<init>(slimcampaign.java:138)  at com.ericsson.bss.rmca.restserviceimpl.internal.pages.po.productofferingpage.<init>(productofferingpage.java:215)  at com.ericsson.bss.rmca.restserviceimpl.internal.pages.po.restproductofferingpageimpl.createpagefromentity(restproductofferingpageimpl.java:501)  at com.ericsson.bss.rmca.restserviceimpl.internal.pages.po.restproductofferingpageimpl.createpagefromentity(restproductofferingpageimpl.java:127)  at com.ericsson.bss.rmca.restserviceimpl.internal.pages.restpageimplbase.createpageforentitywithid(restpageimplbase.java:703)  at com.ericsson.bss.rmca.restserviceimpl.internal.pages.restpageimplbase.get(restpageimplbase.java:207)  at sun.reflect.nativemethodaccessorimpl.invoke0(native method)  at sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:62)  at sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:43)  at java.lang.reflect.method.invoke(method.java:498)  at org.glassfish.jersey.server.model.internal.resourcemethodinvocationhandlerfactory$1.invoke(resourcemethodinvocationhandlerfactory.java:81)  at org.glassfish.jersey.server.model.internal.abstractjavaresourcemethoddispatcher$1.run(abstractjavaresourcemethoddispatcher.java:144)  at org.glassfish.jersey.server.model.internal.abstractjavaresourcemethoddispatcher.invoke(abstractjavaresourcemethoddispatcher.java:161)  at org.glassfish.jersey.server.model.internal.javaresourcemethoddispatcherprovider$responseoutinvoker.dodispatch(javaresourcemethoddispatcherprovider.java:160)  at org.glassfish.jersey.server.model.internal.abstractjavaresourcemethoddispatcher.dispatch(abstractjavaresourcemethoddispatcher.java:99)  at org.glassfish.jersey.server.model.resourcemethodinvoker.invoke(resourcemethodinvoker.java:389)  at org.glassfish.jersey.server.model.resourcemethodinvoker.apply(resourcemethodinvoker.java:347)  at org.glassfish.jersey.server.model.resourcemethodinvoker.apply(resourcemethodinvoker.java:102)  at org.glassfish.jersey.server.serverruntime$2.run(serverruntime.java:326)  at org.glassfish.jersey.internal.errors$1.call(errors.java:271)  at org.glassfish.jersey.internal.errors$1.call(errors.java:267)  at org.glassfish.jersey.internal.errors.process(errors.java:315)  at org.glassfish.jersey.internal.errors.process(errors.java:297)  at org.glassfish.jersey.internal.errors.process(errors.java:267)  at org.glassfish.jersey.process.internal.requestscope.runinscope(requestscope.java:317)  at org.glassfish.jersey.server.serverruntime.process(serverruntime.java:305)  at org.glassfish.jersey.server.applicationhandler.handle(applicationhandler.java:1154)  at org.glassfish.jersey.servlet.webcomponent.serviceimpl(webcomponent.java:473)  at org.glassfish.jersey.servlet.webcomponent.service(webcomponent.java:427)  at org.glassfish.jersey.servlet.servletcontainer.service(servletcontainer.java:388)  at org.glassfish.jersey.servlet.servletcontainer.service(servletcontainer.java:341)  at org.glassfish.jersey.servlet.servletcontainer.service(servletcontainer.java:228)  at com.eclipsesource.jaxrs.publisher.internal.servletcontainerbridge.service(servletcontainerbridge.java:76)  at org.eclipse.jetty.servlet.servletholder.handle(servletholder.java:848)  at org.eclipse.jetty.servlet.servlethandler$cachedchain.dofilter(servlethandler.java:1772)  at org.eclipse.jetty.websocket.server.websocketupgradefilter.dofilter(websocketupgradefilter.java:205)  at org.eclipse.jetty.servlet.servlethandler$cachedchain.dofilter(servlethandler.java:1759)  at org.eclipse.jetty.servlet.servlethandler.dohandle(servlethandler.java:582)  at org.ops4j.pax.web.service.jetty.internal.  at org.eclipse.jetty.server.handler.scopedhandler.handle(scopedhandler.java:143)  at org.eclipse.jetty.security.securityhandler.handle(securityhandler.java:548)  at org.eclipse.jetty.server.session.sessionhandler.dohandle(sessionhandler.java:226)  at org.eclipse.jetty.server.handler.contexthandler.dohandle(contexthandler.java:1180)  at org.ops4j.pax.web.service.jetty.internal.  at org.eclipse.jetty.servlet.servlethandler.doscope(servlethandler.java:512)  at org.eclipse.jetty.server.session.sessionhandler.doscope(sessionhandler.java:185)  at org.eclipse.jetty.server.handler.contexthandler.doscope(contexthandler.java:1112)  at org.eclipse.jetty.server.handler.scopedhandler.handle(scopedhandler.java:141)  at org.ops4j.pax.web.service.jetty.internal.jettyserverhandlercollection.handle(jettyserverhandlercollection.java:80)  at org.eclipse.jetty.server.handler.handlerwrapper.handle(handlerwrapper.java:134)  at org.eclipse.jetty.server.server.handle(server.java:534)  at org.eclipse.jetty.server.  at org.eclipse.jetty.server.  at org.eclipse.jetty.io.abstractconnection$readcallback.succeeded(abstractconnection.java:283)  at org.eclipse.jetty.io.fillinterest.fillable(fillinterest.java:108)  at org.eclipse.jetty.io.ssl.sslconnection.onfillable(sslconnection.java:251)  at org.eclipse.jetty.io.abstractconnection$readcallback.succeeded(abstractconnection.java:283)  at org.eclipse.jetty.io.fillinterest.fillable(fillinterest.java:108)  at org.eclipse.jetty.io.selectchannelendpoint$2.run(selectchannelendpoint.java:93)  at org.eclipse.jetty.util.thread.strategy.executeproduceconsume.executeproduceconsume(executeproduceconsume.java:303)  at org.eclipse.jetty.util.thread.strategy.executeproduceconsume.produceconsume(executeproduceconsume.java:148)  at org.eclipse.jetty.util.thread.strategy.executeproduceconsume.run(executeproduceconsume.java:136)  at org.eclipse.jetty.util.thread.queuedthreadpool.runjob(queuedthreadpool.java:671)  at org.eclipse.jetty.util.thread.queuedthreadpool$2.run(queuedthreadpool.java:589)  at java.lang.thread.run(thread.java:748)" result: "error" . workaround and recovery -
