issueNumber,prNumber,Util,Network,i18n,Test,IO,corpus
6852.0,6874,1.0,0.0,0.0,0.0,1.0,add timeinterval & timestamp to m s
6852.0,6875,1.0,0.0,0.0,0.0,1.0,add maybe completable tofuture
580.0,6876,1.0,1.0,1.0,1.0,1.0,add singleoftype
6852.0,6876,1.0,1.0,1.0,1.0,1.0,add singleoftype
6852.0,6877,1.0,0.0,0.0,1.0,1.0,add doonlifecycle to maybe single & completable
6852.0,6879,1.0,0.0,1.0,1.0,1.0,add concatmapx operators aliases
6852.0,6881,1.0,0.0,1.0,1.0,1.0,add various concatxdelayerror operators
6852.0,6882,1.0,0.0,0.0,0.0,1.0,add singlemergearray & mergearraydelayerror
6852.0,6884,1.0,0.0,0.0,1.0,1.0,add completablesequenceequal
6852.0,6885,1.0,0.0,0.0,0.0,1.0,add missing startwith overloads
5806.0,6886,1.0,0.0,0.0,1.0,1.0,add completableonerrorreturn item
6852.0,6886,1.0,0.0,0.0,1.0,1.0,add completableonerrorreturn item
6878.0,6891,1.0,0.0,0.0,1.0,1.0,swap maybeflatmapsingle and maybeflatmapsingleelement
5806.0,6893,1.0,0.0,0.0,1.0,1.0,reenable xflatmaptestmaybesingle add missing single operators
6892.0,6893,1.0,0.0,0.0,1.0,1.0,reenable xflatmaptestmaybesingle add missing single operators
5806.0,6897,1.0,0.0,0.0,0.0,1.0,add remaining maybe marbles
6880.0,6899,1.0,0.0,0.0,0.0,1.0,add concateagerdelayerror across
6947.0,6960,1.0,0.0,0.0,1.0,1.0,fix observableflatmap with maxconcurrency hangs
696.0,6969,1.0,0.0,1.0,1.0,1.0,allow setting the drift tolerance timeunit via system property
6987.0,6996,1.0,0.0,1.0,1.0,1.0,suppress undeliverableexception handling in tests
7001.0,7028,1.0,0.0,0.0,1.0,1.0,allow mbe in flowablegroupbytestissue runpart noevict
711.0,7163,1.0,0.0,0.0,1.0,1.0,testscheduler option to use onschedule hook
716.0,7164,1.0,0.0,0.0,0.0,1.0,updating documentation for scheduleactual method
706.0,7165,1.0,1.0,1.0,1.0,1.0,add fusion support to concatmap{maybesinglecompletable}
