Named,issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,BigData,App,GIS,corpus
170,1804,1823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,fixed #1804: url field is not removed by integrity check better to disable the check than remove the field from the entry -)fixes #1804 - [x] change in changelogmd described- [ ] tests created for changes (one may think of adding a test that no fields are removed from the entry in the integrity check but i havent done that here ideally the entry should have every possible field included)- [x] manually tested changed features in running jabref- [x] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) lgtm ||
171,1687,1837,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"fixes #1687 ""month"" field ascending/descending sorting swapped when sorting according to ""month"" ""ascending""/""descending"" are switched- [x] change in changelogmd described- [x] tests created for changes- [x] manually tested changed features in running jabref lgtm! great with the comparator test! :+1: ||"
172,184,1848,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,allow setting the etal-string empty implements #1841 earlier it was not allowed to set the etal-string in the authors layout formatter to be empty however as clear from #1841 there is at least one use case for it and it is not obvious why it wasnt allowed earliera side note: it is still not allowed to set sep and lastsep empty maybe there are good reasons for that?- [x] change in changelogmd described- [x] tests created for changes- [x] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)  
173,1841,1848,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,allow setting the etal-string empty implements #1841 earlier it was not allowed to set the etal-string in the authors layout formatter to be empty however as clear from #1841 there is at least one use case for it and it is not obvious why it wasnt allowed earliera side note: it is still not allowed to set sep and lastsep empty maybe there are good reasons for that?- [x] change in changelogmd described- [x] tests created for changes- [x] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)  
174,1841,1857,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,fixed npe when loading a style file that has no default style found when trying #1841 although non-related- [x] change in changelogmd described- [x] manually tested changed features in running jabref- [ ] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) maybe we could get that into 36 too?  || yes i think it would make sense/be safe a better solution is discussed in #1858  ||
175,1663,1865,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,"fixed #1663 better multi-monitor support - [x] location of windows is keep also for multi-monitor setups- [x] location of window is only reverted when it is not displaybale (no multi-monitor anymore/wrong preferences)- [x] removed duplicate maximized state logic- [x] dialogs are centered as overlay over the main window not always on the main screen@jabref/developers please try on your multi-monitor setup @ work and or a @ home - the location of the windows should stay the same or should be adapted to a visible alternate location - also the maximized state should be remembered correctly on all monitors- do you see any dialogs that are not correctly centered in multi monitor scenario (jabref on 2nd screen dialog on main screen) i run a single x screen two monitor setup and i cannot tell the difference compared to before: if any dialog cover both monitors it is moved and resized to stay inside one of the monitors || is it really inside the boundaries of the screen rectangle? only then it can work sometimes the resolutions are different between monitors (see screenshot)![image](https://cloudgithubusercontentcom/assets/2141507/18007075/d0085914-6ba2-11e6-89ce-d0146a10e824png) || when closing the merge entries window:![screenshot-4](https://cloudgithubusercontentcom/assets/8114497/18007316/d38fae92-6ba3-11e6-8436-f9687797d429png)when opening it:![screenshot-5](https://cloudgithubusercontentcom/assets/8114497/18007331/e2acadd0-6ba3-11e6-96fa-2e13acbe0101png)(it may be that the size is kept better now that i didnt think of)same with the main window (which is adapted to the left monitor on both images) || with that said im sure that this pr solves some problems and im not sure that the behaviour i report really is a problem as such || no your example should work for me and my horizontal/horizontal setup it works it looks like for your horizontal/vertical it does not we have to test more settings to smooth this functionality || @oscargus i tried your use case on a similar setup on windows and it worked maybe a linux problem?![image](https://cloudgithubusercontentcom/assets/2141507/18008684/584e9b98-6ba9-11e6-8a96-9d06e0d3b6b0png) || could indeed be especially with the option to have more than one x-screen (which i dont but some people do) are you interested in any numbers from my setup (obtained from the code)? || sure maybe you can also take a look i simplified the code very much so it should be easy to debug if java/the os supports our case or if we cannot do anything about the problemits basically just ``` javaif(!isdisplayable(storedposition))```checking for the current location inside a virtual rectangle of all available screens (union) || lgtm || @stefan-kolb i will try to see why things go wrong on my office setup ""soon"" || "
176,1496,1869,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,"download many files in one go implements #1496 and also allows selecting multiple documents to find full text documents for i think that it doesnt always show a dialog for every failed files when having multiple ongoing downloadsplease try it out at http://buildsjabreforg/downloadmanyfiles- [x] change in changelogmd described- [x] manually tested changed features in running jabref- [ ] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) if it does what you promise i love you! :heart_eyes:  :laughing:  will try this tomorrow > think that it doesnt always show a dialog for every failed files when having multiple ongoing downloadsnot sure if i understand you correctly: so i download eg 20 files and 5 fails is then the dialog ""failed dl"" displayed 5 times?or after all downloads are finished it shows a dialog with eg 15/20 files downloaded succesfully? || works technically fine but i have some remarks as its currently not effective usable:i ran it over quality->look up fulltextwhen the process is finished it shows the file save/ download failed dialog for every entry which i previously selectedso if i have 200 entries select after the process it opens 200 dialogs even for canceling i would have to click 200 times of canceland there is apparently no option to cancel the lookup processi would suggest having just a final download result dialog or directly a process window perhaps sth like this from down them all:![dta](https://addonscdnmozillanet/user-media/previews/full/18/18838png?modified1331218902) || well what you select is what you get :-)i agree that your approach would be even better but that is out of the scope for me at the moment one could still reenable one selected entry at a time with the added benefit of being able to start more than one but i do not really know if that is a better way to do it maybe it is better to pop up a dialog asking if the user is sure they want to try to find > 10(?) full text documents as this can be quite a hassle? || agree with you add this dialog warning for more than x? entries for the rest we should create a new issue/enhancement mabye the other devs have some other regarding the blocking: does not block the ui atm || i updated and set it to 10 not sure how much one should actually write in the dialog || code lgtm just move that magic number to a constant || yeah was thinking about the constant thing as well will fix it i guess it is a good idea to merge now so people have time to find possible issues || improved the file name generation as well if the formatter does return an empty string the bibtex key is used if no bibtex key ""default"" is used || "
177,1882,1893,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,"fix invalid bibtexkey freeze fixes #1882 reference: #1863- [x] change in changelogmd described- [x] manually tested changed features in running jabref please add label ""ready-for-review"" thanks || lgtm :+1:  i tested your changes and they are working good work!please resolve the merge conflicts and then we can merge it itto resolve the merge conflicts i recommend installing and setting up a merge tool for 3way merge (eg meld or kdiff3 or your favorite tool)then you do git checkout mastergit fetch upstreamgit merge upstream/mastergit push`git merge upstream/<yourbranch>`open git gui to see and resolve merge conflicts be careful with the changelog || well done :+1:  merged || "
178,1506,1894,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,implemented title and camel key modifiers implemented #1506 - [x] change in changelogmd described- [x] tests created for changes- [x] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) lgtm  just some misisng space in the changelog  :+1:  || added `lower_case` `upper_case` `sentence_case` `capitalize` and `title_case` modifiers (the two first are just additional names)unmodifiable return from `titlegetwords()` but the function of the modifier rely heavily on mutable `word` || @oscargus could you follow up so that we can merge? || @koppor / @oscargus  pls also move `metadatasetbibtexkeypattern(bibtexkeypattern)` to the setup method || @tobiasdiez sorry for overlooking your second move comment i also created `formattersgetformatterformodifier` hope this is good to go nowthe tests are locally ok the failing test is unrelated to the update || yes looks good now thanks @koppor for finishing this pr 😄  ||
179,1092,1899,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"move files to subfolders in file directory implementation for #1092 already implemented copy and move methods from #1861 - [x] change in changelogmd described- [x] tests created for changes- [x] screenshots added (for bigger ui changes)- [x] manually tested changed features in running jabref- [x] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)![jabreffiledirpattern](https://cloudgithubusercontentcom/assets/320228/20651008/ad235808-b4dc-11e6-9e1f-fe6175d5c4ebpng) todo: pass global as paramtodo: check relative path || @jabref/developers  i need some help with the gui: i desperately tried to add the new field below the other but i cant get it work no matter what i tried :rage: the original layout code is this: `formlayout layout  new formlayout(""1dlu 8dlu left:pref 4dlu fill:3dlu"")` in:https://githubcom/jabref/jabref/blob/filedirpattern/src/main/java/net/sf/jabref/gui/preftabs/importsettingstabjavathe new field is there but kinda hidden no idea how to change it back:![settingsimportpanel](https://cloudgithubusercontentcom/assets/320228/18609034/56a523ba-7cf8-11e6-98fa-dbdefb6ca60bpng) || yeah finally the layout works :sunglasses:  || thanks for the work! im really missing this feature in jabref 3however the current behavior is a little unexpected first the file seems to be moved relative to its current directory for example directory pattern \entrytype moves the file with every execution of cleanup to a new subdirectory for me expected behavior would be that the new path is relative to the directory of the bib-file or some otherwise specified root directory second the file field in the bib entry seems to be adjusted only if the option use the bib file location as primary file directory is set otherwise the file is moved but the file path is not adjusted || @dierkes  thanks for your feedback i would have asked you to test it otherwise too )the moving files is a bit complicated as it has to be kept backwards compatiblethe file directory is the first found directory: a) global file dire from setting b) bib file relative c) bib specific setting (atm not sure about the order b and c)regarding the file field i will check it || regarding the new file directory: thats not the behavior i observedmy test case was:original file: phdthesis/xyz_2015pdf (all paths relative to the bib-file)file name pattern: \bibtexkeyfile dir pattern: \entrytypecleanup -> phdthesis/phdthesis/xyz_215pdfcleanup -> phdthesis/phdthesis/phdthesis/xyz_215pdfcleanup -> phdthesis/phdthesis/phdthesis/phdthesis/xyz_215pdfit didnt matter if use the bib file location as primary file directory was set or if the default directory for files was set (i tried with setting it to the directory of the bib-file) i didnt try to set the default file directory for the specific bib-file however (can do that later)from my perspective a backward compatible solution could be: if the file dir pattern is not set rename the file in its current location if it is set move the file to the directory specified by file dir pattern (relative to bib-file directory if its a relative path) and rename it there however an empty file name pattern could mean a) rename the file in place or b) move file to bib-file directory so an additional option is probably necessary that specifies whether moving files is active or notinterpreting the file dir pattern as a path relative to the current directory of the file doesnt make sense to me since executing cleanup would always change the file path which is probably the opposite effect one expects from a cleanup ) || ah i see you are rightwill look around2016-10-14 12:48 gmt+02:00 dierkes notifications@githubcom:> regarding the new file directory: thats not the behavior i observed> > my test case was:> original file: phdthesis/xyz_2015pdf (all paths relative to the bib-file)> file name pattern: \bibtexkey> file dir pattern: \entrytype> > cleanup -> phdthesis/phdthesis/xyz_215pdf> cleanup -> phdthesis/phdthesis/phdthesis/xyz_215pdf> cleanup -> phdthesis/phdthesis/phdthesis/phdthesis/xyz_215pdf> > it didnt matter if use the bib file location as primary file directory> was set or if the default directory for files was set (i tried with> setting it to the directory of the bib-file) i didnt try to set the> default file directory for the specific bib-file however (can do that> later)> > from my perspective a backward compatible solution could be: if the file> dir pattern is not set rename the file in its current location if it is> set move the file to the directory specified by file dir pattern (relative> to bib-file directory if its a relative path) and rename it there> however an empty file name pattern could mean a) rename the file in place> or b) move file to bib-file directory so an additional option is probably> necessary that specifies whether moving files is active or not> > interpreting the file dir pattern as a path relative to the current> directory of the file doesnt make sense to me since executing cleanup> would always change the file path which is probably the opposite effect> one expects from a cleanup )> > —> you are receiving this because you authored the thread> reply to this email directly view it on github> https://githubcom/jabref/jabref/pull/1899#issuecomment-253768620 or mute> the thread> https://githubcom/notifications/unsubscribe-auth/aati5plbikvfhsla2g3oroq4okl60irdks5qz135gajpzm4jxp95>  || @dierkes  i fixed it when all tests are green you could try it out || now it works mostly as expected for meof course as described above with the current state its not possible to rename a file only (if its current location doesnt match the file dir pattern) so we might need the option to activate/deactivate moving the filesand a very strange thing i noticed: if filedir pattern is empty and main file directory is empty and use the bib file location as primary file directory is not set then the file is not moved and a directory relative to the jabref directory (or maybe to the current working directory)  is created with the name of the desired file path staying in the example from above instead of renaming the file to(literature/) phdthesis/xyz_2015pdfa directory named(jabref/) phdthesis/xyz_2015pdf/is created || thanks for the feedback i will check itnormally renaming file only should work if filedirpattern is empty in thesettingsam 15102016 11:52 nachm schrieb ""dierkes"" notifications@githubcom:> now it works mostly as expected for me> > of course as described above with the current state its not possible to> rename a file only (if its current location doesnt match the file dir> pattern) so we might need the option to activate/deactivate moving the> files> > and a very strange thing i noticed: if filedir pattern is empty and> main file directory is empty and use the bib file location as primary> file directory is not set then the file is not moved and a directory> relative to the jabref directory (or maybe to the current working> directory) is created with the name of the desired file path staying in> the example from above instead of renaming the file to> (literature/) phdthesis/xyz_2015pdf> a directory named> (jabref/) phdthesis/xyz_2015pdf/> is created> > —> you are receiving this because you authored the thread> reply to this email directly view it on github> https://githubcom/jabref/jabref/pull/1899#issuecomment-254013358 or mute> the thread> https://githubcom/notifications/unsubscribe-auth/aati5ajdzego8bkoyc7n76tm89c8-mviks5q0ushgajpzm4jxp95>  || @dierkes  i fixed the strange behaviour there was some directory path which was just """" and not null so it was resolved to the current dir of the jar  now it only renames the fileand the old behaviour now works too when filedirpattern is empty the file is moved to the file directory the file directories are checked in this order: the settings are prioritized in the following order and the first defined setting is used1 metadata user-specific directory2 metadata general directory3 preferences directory4 bib file directory || this works almost -)i encountered a similar problem when dragging a file and dropping it to an entry when i select to move the file again instead of a file a directory is created (same path as the file should have) || and another issue: if multiple files are linked to an entry the first file is renamed and the other file links get lost in jabref 36 the first file is renamed and the other files are moved to the same directory || thanks for your intenstive testingthe issue with the drag and drop is now fixed  there was a problem with the layout which would have been default to bibtexkey if the pattern param is emptyi am aware of the thing with the multi files as far as i discovered the first successful rename/move exits the function will try to find out why not sure if i find time for it next weekaddtionally i will create some automatic tests too if it works finally || i think i fixed the issue with the multiple files see #2248the behavior now as far as i understand it is: the function will try to move/rename all attached files if a file with the new file path already exist (that happens if two attached files have the same file extension) it doesnt move/rename the file and keeps the old file path in the bib entryfor example lets consider we have three attached files:olddir1/oldname1pdfolddir2/oldname2pdfolddir3/oldname3txtthe new file paths will be:newdir/newnamepdfolddir2/oldname2pdfnewdir/newnametxti think there is some room for improvement for example to keep oldname2 but move the file to newdir if possible however before doing this i think its necessary to define the desired behavior in detail || thanks for your work! just one thing it would be nice if you could check that locally toothere is a junit test i set to ignore (due to the bug) which should now work too just remove the ignore-tagand  execute it (either directly  or run gradlew check)`cleanuprenamepdfrenameswithmultiplefiles()` in  `src/test/java/net/sf/jabref/logic/cleanup/cleanupworkertestjava` || i removed the tagwhen i run `gradlew check` the test `cleanuprenamepdfrenamesrelativefile()` in `cleanupworkertestjava` fails however i think the problem lies within the design of the test the expected path of the file is `toottmp` but the actual path is `misc/toottmp` i guess there is some default value set for filedirpattern || hm i think the value has to be set to an empty string in the test becauseotherwise it will take the value of the settingsam 10112016 12:57 vorm schrieb ""dierkes"" notifications@githubcom:> i removed the tag> > when i run gradlew check the test cleanuprenamepdfrenamesrelativefile()> in cleanupworkertestjava fails however i think the problem lies within> the design of the test the expected path of the file is toottmp but the> actual path is misc/toottmp i guess there is some default value set for> filedirpattern> > —> you are receiving this because you authored the thread> reply to this email directly view it on github or mute the thread || @dierkes  i just fixed the failing test as i expected it it was due to the setting which got read || great is there a chance to integrate this branch into the next release? || technically this branch is based on the current master but not includedwith the 37 release which will be probably released todayso if you stick for the moment to the dev version of this branch you haveall stuff from 37 release plus this featureof course it will be in the next release then there are only some testswhich now have to be added to make it ready for a merge || documentation: could you please add an issue at helpjabreforg or even create an initial page with `skeleton: true` in the header?you can link https://helpjabreforg/en/customexports#built-in-export-formatters for a description of the formatters which can be used || i fixed the things from the review  || included feedbacjk || one or two of my comments are still open when i look at the github ui above actually im only interested why you initialized the array with a length of 4 im fine with the rest as thes are only cosmetic changes || fixed the rest and the one test which @koppor commented out in c9726d94686e6687af66476d26b0a1d08c61b41c works fine on travis now again || @jabref/developers we can merge right? || @stefan-kolb @siedlerchr yes we can that is once the merge conflict in the italian localization gets fixed || @jabref/developers  all conflicts fixed || hi on my system two tests are failing cleanuprenamepdfrenameswithmultiplefiles and cleanuprenamepdfrenamefiledirectorypatternsubdirectory however the problem seems to be that these and other tests do not remove the temporary files properly after execution the behavior of the cleanup function itself is as expected but since a file with the target path exists already (left from another test) the attached file is not renamed and the assertion fails im running the tests on fedora || thanks  for  the feedback i  will  check  thatam 06122016 11:45 nachm schrieb ""dierkes"" <notifications@githubcom>:> hi on my system two tests are failing cleanuprenamepdfrenameswithmultiplefiles> and cleanuprenamepdfrenamefiledirectorypatternsubdirectory however the> problem seems to be that these and other tests do not remove the temporary> files properly after execution the behavior of the cleanup function itself> is as expected but since a file with the target path exists already (left> from another test) the attached file is not renamed and the assertion> fails im running the tests on fedora>> —> you are receiving this because you were mentioned> reply to this email directly view it on github> <https://githubcom/jabref/jabref/pull/1899#issuecomment-265297567> or mute> the thread> <https://githubcom/notifications/unsubscribe-auth/aati5i43yoo4vp5qizl0mhwtdmyvbiexks5rfewegajpzm4jxp95>> > || should now be fixed was some preferences problem as i already thought mocked it away || "
180,1861,1899,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"move files to subfolders in file directory implementation for #1092 already implemented copy and move methods from #1861 - [x] change in changelogmd described- [x] tests created for changes- [x] screenshots added (for bigger ui changes)- [x] manually tested changed features in running jabref- [x] check documentation status (issue created for outdated help page at [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?)![jabreffiledirpattern](https://cloudgithubusercontentcom/assets/320228/20651008/ad235808-b4dc-11e6-9e1f-fe6175d5c4ebpng) todo: pass global as paramtodo: check relative path || @jabref/developers  i need some help with the gui: i desperately tried to add the new field below the other but i cant get it work no matter what i tried :rage: the original layout code is this: `formlayout layout  new formlayout(""1dlu 8dlu left:pref 4dlu fill:3dlu"")` in:https://githubcom/jabref/jabref/blob/filedirpattern/src/main/java/net/sf/jabref/gui/preftabs/importsettingstabjavathe new field is there but kinda hidden no idea how to change it back:![settingsimportpanel](https://cloudgithubusercontentcom/assets/320228/18609034/56a523ba-7cf8-11e6-98fa-dbdefb6ca60bpng) || yeah finally the layout works :sunglasses:  || thanks for the work! im really missing this feature in jabref 3however the current behavior is a little unexpected first the file seems to be moved relative to its current directory for example directory pattern \entrytype moves the file with every execution of cleanup to a new subdirectory for me expected behavior would be that the new path is relative to the directory of the bib-file or some otherwise specified root directory second the file field in the bib entry seems to be adjusted only if the option use the bib file location as primary file directory is set otherwise the file is moved but the file path is not adjusted || @dierkes  thanks for your feedback i would have asked you to test it otherwise too )the moving files is a bit complicated as it has to be kept backwards compatiblethe file directory is the first found directory: a) global file dire from setting b) bib file relative c) bib specific setting (atm not sure about the order b and c)regarding the file field i will check it || regarding the new file directory: thats not the behavior i observedmy test case was:original file: phdthesis/xyz_2015pdf (all paths relative to the bib-file)file name pattern: \bibtexkeyfile dir pattern: \entrytypecleanup -> phdthesis/phdthesis/xyz_215pdfcleanup -> phdthesis/phdthesis/phdthesis/xyz_215pdfcleanup -> phdthesis/phdthesis/phdthesis/phdthesis/xyz_215pdfit didnt matter if use the bib file location as primary file directory was set or if the default directory for files was set (i tried with setting it to the directory of the bib-file) i didnt try to set the default file directory for the specific bib-file however (can do that later)from my perspective a backward compatible solution could be: if the file dir pattern is not set rename the file in its current location if it is set move the file to the directory specified by file dir pattern (relative to bib-file directory if its a relative path) and rename it there however an empty file name pattern could mean a) rename the file in place or b) move file to bib-file directory so an additional option is probably necessary that specifies whether moving files is active or notinterpreting the file dir pattern as a path relative to the current directory of the file doesnt make sense to me since executing cleanup would always change the file path which is probably the opposite effect one expects from a cleanup ) || ah i see you are rightwill look around2016-10-14 12:48 gmt+02:00 dierkes notifications@githubcom:> regarding the new file directory: thats not the behavior i observed> > my test case was:> original file: phdthesis/xyz_2015pdf (all paths relative to the bib-file)> file name pattern: \bibtexkey> file dir pattern: \entrytype> > cleanup -> phdthesis/phdthesis/xyz_215pdf> cleanup -> phdthesis/phdthesis/phdthesis/xyz_215pdf> cleanup -> phdthesis/phdthesis/phdthesis/phdthesis/xyz_215pdf> > it didnt matter if use the bib file location as primary file directory> was set or if the default directory for files was set (i tried with> setting it to the directory of the bib-file) i didnt try to set the> default file directory for the specific bib-file however (can do that> later)> > from my perspective a backward compatible solution could be: if the file> dir pattern is not set rename the file in its current location if it is> set move the file to the directory specified by file dir pattern (relative> to bib-file directory if its a relative path) and rename it there> however an empty file name pattern could mean a) rename the file in place> or b) move file to bib-file directory so an additional option is probably> necessary that specifies whether moving files is active or not> > interpreting the file dir pattern as a path relative to the current> directory of the file doesnt make sense to me since executing cleanup> would always change the file path which is probably the opposite effect> one expects from a cleanup )> > —> you are receiving this because you authored the thread> reply to this email directly view it on github> https://githubcom/jabref/jabref/pull/1899#issuecomment-253768620 or mute> the thread> https://githubcom/notifications/unsubscribe-auth/aati5plbikvfhsla2g3oroq4okl60irdks5qz135gajpzm4jxp95>  || @dierkes  i fixed it when all tests are green you could try it out || now it works mostly as expected for meof course as described above with the current state its not possible to rename a file only (if its current location doesnt match the file dir pattern) so we might need the option to activate/deactivate moving the filesand a very strange thing i noticed: if filedir pattern is empty and main file directory is empty and use the bib file location as primary file directory is not set then the file is not moved and a directory relative to the jabref directory (or maybe to the current working directory)  is created with the name of the desired file path staying in the example from above instead of renaming the file to(literature/) phdthesis/xyz_2015pdfa directory named(jabref/) phdthesis/xyz_2015pdf/is created || thanks for the feedback i will check itnormally renaming file only should work if filedirpattern is empty in thesettingsam 15102016 11:52 nachm schrieb ""dierkes"" notifications@githubcom:> now it works mostly as expected for me> > of course as described above with the current state its not possible to> rename a file only (if its current location doesnt match the file dir> pattern) so we might need the option to activate/deactivate moving the> files> > and a very strange thing i noticed: if filedir pattern is empty and> main file directory is empty and use the bib file location as primary> file directory is not set then the file is not moved and a directory> relative to the jabref directory (or maybe to the current working> directory) is created with the name of the desired file path staying in> the example from above instead of renaming the file to> (literature/) phdthesis/xyz_2015pdf> a directory named> (jabref/) phdthesis/xyz_2015pdf/> is created> > —> you are receiving this because you authored the thread> reply to this email directly view it on github> https://githubcom/jabref/jabref/pull/1899#issuecomment-254013358 or mute> the thread> https://githubcom/notifications/unsubscribe-auth/aati5ajdzego8bkoyc7n76tm89c8-mviks5q0ushgajpzm4jxp95>  || @dierkes  i fixed the strange behaviour there was some directory path which was just """" and not null so it was resolved to the current dir of the jar  now it only renames the fileand the old behaviour now works too when filedirpattern is empty the file is moved to the file directory the file directories are checked in this order: the settings are prioritized in the following order and the first defined setting is used1 metadata user-specific directory2 metadata general directory3 preferences directory4 bib file directory || this works almost -)i encountered a similar problem when dragging a file and dropping it to an entry when i select to move the file again instead of a file a directory is created (same path as the file should have) || and another issue: if multiple files are linked to an entry the first file is renamed and the other file links get lost in jabref 36 the first file is renamed and the other files are moved to the same directory || thanks for your intenstive testingthe issue with the drag and drop is now fixed  there was a problem with the layout which would have been default to bibtexkey if the pattern param is emptyi am aware of the thing with the multi files as far as i discovered the first successful rename/move exits the function will try to find out why not sure if i find time for it next weekaddtionally i will create some automatic tests too if it works finally || i think i fixed the issue with the multiple files see #2248the behavior now as far as i understand it is: the function will try to move/rename all attached files if a file with the new file path already exist (that happens if two attached files have the same file extension) it doesnt move/rename the file and keeps the old file path in the bib entryfor example lets consider we have three attached files:olddir1/oldname1pdfolddir2/oldname2pdfolddir3/oldname3txtthe new file paths will be:newdir/newnamepdfolddir2/oldname2pdfnewdir/newnametxti think there is some room for improvement for example to keep oldname2 but move the file to newdir if possible however before doing this i think its necessary to define the desired behavior in detail || thanks for your work! just one thing it would be nice if you could check that locally toothere is a junit test i set to ignore (due to the bug) which should now work too just remove the ignore-tagand  execute it (either directly  or run gradlew check)`cleanuprenamepdfrenameswithmultiplefiles()` in  `src/test/java/net/sf/jabref/logic/cleanup/cleanupworkertestjava` || i removed the tagwhen i run `gradlew check` the test `cleanuprenamepdfrenamesrelativefile()` in `cleanupworkertestjava` fails however i think the problem lies within the design of the test the expected path of the file is `toottmp` but the actual path is `misc/toottmp` i guess there is some default value set for filedirpattern || hm i think the value has to be set to an empty string in the test becauseotherwise it will take the value of the settingsam 10112016 12:57 vorm schrieb ""dierkes"" notifications@githubcom:> i removed the tag> > when i run gradlew check the test cleanuprenamepdfrenamesrelativefile()> in cleanupworkertestjava fails however i think the problem lies within> the design of the test the expected path of the file is toottmp but the> actual path is misc/toottmp i guess there is some default value set for> filedirpattern> > —> you are receiving this because you authored the thread> reply to this email directly view it on github or mute the thread || @dierkes  i just fixed the failing test as i expected it it was due to the setting which got read || great is there a chance to integrate this branch into the next release? || technically this branch is based on the current master but not includedwith the 37 release which will be probably released todayso if you stick for the moment to the dev version of this branch you haveall stuff from 37 release plus this featureof course it will be in the next release then there are only some testswhich now have to be added to make it ready for a merge || documentation: could you please add an issue at helpjabreforg or even create an initial page with `skeleton: true` in the header?you can link https://helpjabreforg/en/customexports#built-in-export-formatters for a description of the formatters which can be used || i fixed the things from the review  || included feedbacjk || one or two of my comments are still open when i look at the github ui above actually im only interested why you initialized the array with a length of 4 im fine with the rest as thes are only cosmetic changes || fixed the rest and the one test which @koppor commented out in c9726d94686e6687af66476d26b0a1d08c61b41c works fine on travis now again || @jabref/developers we can merge right? || @stefan-kolb @siedlerchr yes we can that is once the merge conflict in the italian localization gets fixed || @jabref/developers  all conflicts fixed || hi on my system two tests are failing cleanuprenamepdfrenameswithmultiplefiles and cleanuprenamepdfrenamefiledirectorypatternsubdirectory however the problem seems to be that these and other tests do not remove the temporary files properly after execution the behavior of the cleanup function itself is as expected but since a file with the target path exists already (left from another test) the attached file is not renamed and the assertion fails im running the tests on fedora || thanks  for  the feedback i  will  check  thatam 06122016 11:45 nachm schrieb ""dierkes"" <notifications@githubcom>:> hi on my system two tests are failing cleanuprenamepdfrenameswithmultiplefiles> and cleanuprenamepdfrenamefiledirectorypatternsubdirectory however the> problem seems to be that these and other tests do not remove the temporary> files properly after execution the behavior of the cleanup function itself> is as expected but since a file with the target path exists already (left> from another test) the attached file is not renamed and the assertion> fails im running the tests on fedora>> —> you are receiving this because you were mentioned> reply to this email directly view it on github> <https://githubcom/jabref/jabref/pull/1899#issuecomment-265297567> or mute> the thread> <https://githubcom/notifications/unsubscribe-auth/aati5i43yoo4vp5qizl0mhwtdmyvbiexks5rfewegajpzm4jxp95>> > || should now be fixed was some preferences problem as i already thought mocked it away || "
181,1897,1906,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"check integrity year check added #1897 added last four nonpunctuation characters should be numerals in check integrity year- [x] change in changelogmd described- [x] tests created for changes- [x] manually tested changed features in running jabref thanks! the tests fails because of missing translation stringsif you run the logic/i10/localizationconsistencytestjava you will get a list of strings which are not in the translation files add those to the english one and run the script that the output tells you to then all languages are updated and the test should pass (you may have to refresh the files in your ide in case it fails again) also see: https://githubcom/jabref/jabref/wiki/code-howtos#using-localization-correctlyif you can add a test to integritychecktest (or whatever it is called) that really tests for this new feature it would be great || i hope it is correct now please set label ""ready-for-review"" thanks || thanks for your work :+1: lgtm! if you reword the changelog we can merge it in || a probably stupid question: why not just check that the year field consists exactly of 4 digits? || @tobiasdiez  because the offical bibtex spec says so:see the issue for details:https://githubcom/jabref/jabref/issues/1897#issuecomment-243756785 || got 3 minor comments and then we can merge :+1:  || thanks :smile:  lgtm :+1:  || lgtm too || "
