Named,issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,BigData,App,GIS,corpus
83,879,881,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,fixed #879: argumentmatchers grammar fix cherry-pick pr #880 to the 2x branchthis pr should fix issue #879 on this branch too  
84,878,885,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,spy annotation reports better error message if instance creation is impossible this simple piece of code prevents the `spyannotationengine` to try create a spy instance for a some inner private class with different set of modifierswhile preventing execution it reports slightly better error messages before some time the cause was `null`  this should fix #878 ## [current coverage](https://codecovio/gh/mockito/mockito/pull/885?srcpr) is 8658% (diff: 9189%)> no coverage report found for **release/2x** at e983acd> powered by [codecov](https://codecovio?srcpr) last update [e983acd9d81a1e](https://codecovio/gh/mockito/mockito/compare/e983acdef8da0076f1980f622363d179e1eff6809d81a1e5a3dbaba47466f65bc77c309c847e584e?srcpr) || the diff is quite cluttered with unrelated changes https://githubcom/mockito/mockito/pull/885/files?w1 makes it a bit easier but still a lot of other changes going onif i can digest the changes correctly i think they are fine || @timvdlippe theres some reformat and cleanup commit the most interesting is the latest commit || >@timvdlippe theres some reformat and cleanup commit the most interesting is the latest committhis is useful information i can focus on the last commit || comments addressed ||
85,874,891,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,update to byte buddy 164: fixes bridge method resolution for generic types fixes #874  
86,895,896,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,clarify documentation for consecutive stubbing fixes #895as of now the documentation does not clarify the difference of behaviour between chaining multiple thenreturn() statements and using multiple when/thenreturn statements when someone attempts to perform consecutive stubbingi added a warning/clarification in the documentation with a corresponding example so that its more clear (especially for new users of mockito) ## [current coverage](https://codecovio/gh/mockito/mockito/pull/896?srcpr) is 8657% (diff: 100%)> no coverage report found for **release/2x** at e983acd> powered by [codecov](https://codecovio?srcpr) last update [e983acd85c6a4d](https://codecovio/gh/mockito/mockito/compare/e983acdef8da0076f1980f622363d179e1eff68085c6a4deae289d6c607adef2d4c68d98a9767870?srcpr) || hi @dimosr thank you for the javadoc update !could you rework the javadoc a bit ? ||
87,814,905,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,fixes #814 : a elements were missing the name attribute meaningful links probably never worked as expectedthe `a` elements were missing the `name` attribute so the browser couldnt find the matching part of the documentfor reference : [598 navigating to a fragment identifier](http://wwww3org/html/wg/drafts/html/master/browsershtml#scroll-to-fragid)> for html documents (and the text/html mime type) the following processing model must be followed to determine what the indicated part of the document is> > 1 parse the url and let fragid be the <fragment> component of the url> 2 if fragid is the empty string then the indicated part of the document is the top of the document> 3 if there is an element in the dom that has an id exactly equal to fragid then the first such element in tree order is the indicated part of the document stop the algorithm here> 4 if there is an a element in the dom that has a name attribute whose value is exactly equal to fragid then the first such element in tree order is the indicated part of the document stop the algorithm here> 5 otherwise there is no indicated part of the document i am merging this one as this is very simple || hm dont want a quick review? i try to never self-merge as it got me numerous times already || the change is damn simple (its just adding `name` attribute) fixed with a simple regexp || ## [current coverage](https://codecovio/gh/mockito/mockito/pull/905?srcpr) is 8658% (diff: 100%)> no coverage report found for **release/2x** at de0a772> powered by [codecov](https://codecovio?srcpr) last update [de0a77265ad7d8](https://codecovio/gh/mockito/mockito/compare/de0a7725667bbc025f1bd78310fbbf8cde4d8bb665ad7d84cc9c46e7b1eb9d8477afa3b94aed2a30?srcpr) ||
88,426,907,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,unified all number of invocations checker in numberofinvocationschecker fixes #426this pr unifies the functionality of `nongreedynumberofinvocationschecker` `numberofinvocationscheckerinorder `and `numberofinvocationschecker `in static methods of the type `numberofinvocationschecker` this saves ~50 lines of code and increases readability on the call sides ## [current coverage](https://codecovio/gh/mockito/mockito/pull/907?srcpr) is 8656% (diff: 9259%)> no coverage report found for **release/2x** at f967b93> powered by [codecov](https://codecovio?srcpr) last update [f967b93fe0e7dc](https://codecovio/gh/mockito/mockito/compare/f967b930042c624fa75c059aa6a5b1c5d013f6affe0e7dc198cdc587fd7597ad819a8ca22e6402ca?srcpr) || @timvdlippe -  the unification of the 3 classes helps to keep the code base consistent we have a similar unification of checking methods in `missinginvocationchecker `and `atleastxnumberofinvocationschecker` -  the call sides can now use static imports which improves the readability:```javachecknumberofinvocations(invocations wanted wantedcount)```vs```javanumberofinvocationschecker numberofinvocations  new numberofinvocationschecker()      numberofinvocationscheck(invocations wanted wantedcount)```  || @timvdlippe can you reopen #426? it was automatically closed || sure then please alter the pr description to references #426 instead offixeson fri 27 jan 2017 23:13 christian schwarz <notifications@githubcom>wrote:> @timvdlippe <https://githubcom/timvdlippe> can you reopen #426> <https://githubcom/mockito/mockito/issues/426>? it was automatically> closed>> —> you are receiving this because you were mentioned>>> reply to this email directly view it on github> <https://githubcom/mockito/mockito/pull/907#issuecomment-275789518> or mute> the thread> <https://githubcom/notifications/unsubscribe-auth/afrdb3t4d6ayo027nfsqglzizjzax04qks5rwmwngajpzm4luk6w>> > ||
89,426,908,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,simplified the creation of argumentsaredifferent-exceptions relates to #426 this pr simplifies the creation of argumentsaredifferent-exceptions saving 2 classes and ~40 lines of code # [codecov](https://codecovio/gh/mockito/mockito/pull/908?srcpr&elh1) report> :exclamation: no coverage uploaded for pull request base (`release/2x@1cbc7f8`) [click here to learn what that means](https://docscodecovio/docs/error-reference#section-missing-base-commit)> the diff coverage is `80%````diff@@              coverage diff               @@##             release/2x     #908   +/-   ##  coverage               ?   8669%             complexity             ?     2256             files                  ?      287             lines                  ?     5736             branches               ?      664             hits                   ?     4973             misses                 ?      574             partials               ?      189```| [impacted files](https://codecovio/gh/mockito/mockito/pull/908?srcpr&eltree) | coverage δ | complexity δ | ||---|---|---|---|| [java/org/mockito/internal/exceptions/reporterjava](https://codecovio/gh/mockito/mockito/compare/1cbc7f821d48c38cd006036dcc2b90c0266939bd26094a57494794fe5b578342d477922f7fdac09e?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9legnlchrpb25zl1jlcg9ydgvylmphdme) | `9166% <100%> (ø)` | `88 <ø> (?)` | || [a/org/mockito/internal/junit/exceptionfactoryjava](https://codecovio/gh/mockito/mockito/compare/1cbc7f821d48c38cd006036dcc2b90c0266939bd26094a57494794fe5b578342d477922f7fdac09e?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9qdw5pdc9fegnlchrpb25gywn0b3j5lmphdme) | `7857% <7857%> (ø)` | `5 <5> (?)` | |------[continue to review full report at codecov](https://codecovio/gh/mockito/mockito/pull/908?srcpr&elcontinue)> **legend** - [click here to learn more](https://docscodecovio/docs/codecov-delta)> `δ  absolute <relative> (impact)` `ø  not affected` `?  missing data`> powered by [codecov](https://codecovio/gh/mockito/mockito/pull/908?srcpr&elfooter) last update [1cbc7f826094a5](https://codecovio/gh/mockito/mockito/compare/1cbc7f821d48c38cd006036dcc2b90c0266939bd26094a57494794fe5b578342d477922f7fdac09e?srcpr&elfooter&ellastupdated) read the [comment docs](https://docscodecovio/docs/pull-request-comments) || @szczepiq @bric3 the tests are in place now || bump || why the hell it is so important to end a java file with a new-line seriously why the build must break??? same goes for a single whitespace at the end of a line it adds a lot of more workload to fix this non issues for no benefit || @christianschwarz the checkstyle configuration is incubating at the moment primarily it enforces the same code style such that we as reviewers have an easier time and process pull requests faster (cutting out the noise) these issues you can check by running `/gradlew build` locally so you should not rely on ci to error on them || i know!  || better provide a formatter template so it can be done by the ide doing it by hand is a stubid frustrating job || @christianschwarz hm i have configured my intellij to do this automatically for me so it is not bothering my workflow maybe you can configure your ide to do the same? that was actually the goal of enforcing checkstyle: every developer configures the ide to fix this automatically || can you export your formatter and add a download-link to wiki contribution guidelines? || finally ready to merge ||
90,426,914,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,refactored removefirstline to a static utility class relates to #426 refactored `removefirstline` to a static utility classi would like to unifiy `removefirstline` `decamelizer` and `stringjoiner` to a new type `stringutil` they all manipulate strings and contain only a few methods that are not worth to live in a dedicated classes any thoughts? ## [current coverage](https://codecovio/gh/mockito/mockito/pull/914?srcpr) is 8664% (diff: 8620%)> no coverage report found for **release/2x** at 7ef9251> powered by [codecov](https://codecovio?srcpr) last update [7ef92513d35055](https://codecovio/gh/mockito/mockito/compare/7ef9251a6cb304ccbd9928da18780da5941a8e9b3d3505520d05cd900876fb8b7923e99231e2f8d1?srcpr) || i think refactoring these classes to `stringutil` makes the most sense we can do that in 1 pr instead of 4 separate lets see what the others think || okay lets see what others say! i added a commit containing the unification + missing tests if requested i will remove the commit ||
91,927,933,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,support for return type void in doesnothinganswer fixes #927 this pr allows to use `donothing()` for methods with return type `javalangvoid` like void-methods  to solve this `invocationinfoisvoid()` checks now the return type for the pseudo-type of the keyword `void` or `void` # [codecov](https://codecovio/gh/mockito/mockito/pull/933?srcpr&elh1) report> :exclamation: no coverage uploaded for pull request base (`release/2x@3e9a94b`) [click here to learn what that means](https://docscodecovio/docs/error-reference#section-missing-base-commit)```diff@@              coverage diff               @@##             release/2x     #933   +/-   ##  coverage               ?   8656%             complexity             ?     2254             files                  ?      289             lines                  ?     5738             branches               ?      663             hits                   ?     4967             misses                 ?      582             partials               ?      189```| [impacted files](https://codecovio/gh/mockito/mockito/pull/933?srcpr&eltree) | coverage δ | complexity δ | ||---|---|---|---|| [kito/internal/stubbing/answers/invocationinfojava](https://codecovio/gh/mockito/mockito/compare/3e9a94b7b9938dbdb882e28c24c2b163c2d19390837ba54e74e1bf3f1663ffc791f3b079e81e75b2?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9zdhviymluzy9hbnn3zxjzl0ludm9jyxrpb25jbmzvlmphdme) | `95% <100%> (ø)` | `17 <3> (?)` | || [ava/org/mockito/internal/stubbing/stubberimpljava](https://codecovio/gh/mockito/mockito/compare/3e9a94b7b9938dbdb882e28c24c2b163c2d19390837ba54e74e1bf3f1663ffc791f3b079e81e75b2?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9zdhviymluzy9tdhviymvysw1wbc5qyxzh) | `909% <100%> (ø)` | `18 <1> (?)` | || [mockito/internal/stubbing/answers/doesnothingjava](https://codecovio/gh/mockito/mockito/compare/3e9a94b7b9938dbdb882e28c24c2b163c2d19390837ba54e74e1bf3f1663ffc791f3b079e81e75b2?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9zdhviymluzy9hbnn3zxjzl0rvzxnob3roaw5nlmphdme) | `100% <100%> (ø)` | `6 <3> (?)` | |------[continue to review full report at codecov](https://codecovio/gh/mockito/mockito/pull/933?srcpr&elcontinue)> **legend** - [click here to learn more](https://docscodecovio/docs/codecov-delta)> `δ  absolute <relative> (impact)` `ø  not affected` `?  missing data`> powered by [codecov](https://codecovio/gh/mockito/mockito/pull/933?srcpr&elfooter) last update [3e9a94b837ba54](https://codecovio/gh/mockito/mockito/compare/3e9a94b7b9938dbdb882e28c24c2b163c2d19390837ba54e74e1bf3f1663ffc791f3b079e81e75b2?elfooter&srcpr&ellastupdated) read the [comment docs](https://docscodecovio/docs/pull-request-comments) ||
92,685,935,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,new feature - enable mocking using constructor arguments ## motivation and design - see #685to quote the requirement (see in-depth design in #685):> we already support spying on abstract classes by allowingparameterless constructor however there is no support forconstructor parametersthis has been asked about long time ago mockito api is not robustenough if it supports mocking with constructor but not when one hasany constructor parametersthis patch enhances the `mocksettings#useconstrctor()` method (as suggested in the alternative api comment in the issue) and addsoptional ellipsis arguments that are passed to the constructorthe patch streamlines the creation of mocks via constructors to asingle flow where using a no-arg constructor or an enclosing classare just private cases of this flow and dont require their ownspecial treatment wow! thank you for swift contribution! i will review once i have a bandwidth || apologies the previous push had a couple of failing tests due to a missed file ive updated it and it should work now || # [codecov](https://codecovio/gh/mockito/mockito/pull/935?srcpr&elh1) report> merging [#935](https://codecovio/gh/mockito/mockito/pull/935?srcpr&eldesc) into [release/2x](https://codecovio/gh/mockito/mockito/commit/b413bbeee9f6dc4b61bee8fb394c0c376dc48075?srcpr&eldesc) will **increase** coverage by `008%`> the diff coverage is `100%````diff@@               coverage diff                @@##             release/2x    #935      +/-   ##+ coverage          8672%   868%   +008%     - complexity          2254    2270      +16       files                287     287                lines               5731    5761      +30       branches             663     672       +9     + hits                4970    5001      +31     + misses               573     571       -2     - partials             188     189       +1```| [impacted files](https://codecovio/gh/mockito/mockito/pull/935?srcpr&eltree) | coverage δ | complexity δ | ||---|---|---|---|| [src/main/java/org/mockito/mockitojava](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480754573cdb0eed2493ddd09d4470ecd853d3a555b94?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9nb2nraxrvlmphdme) | `9655% <ø> (ø)` | `39 <0> (ø)` | :x: || [creation/instance/defaultinstantiatorproviderjava](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480754573cdb0eed2493ddd09d4470ecd853d3a555b94?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9jcmvhdglvbi9pbnn0yw5jzs9ezwzhdwx0sw5zdgfudglhdg9yuhjvdmlkzxiuamf2yq) | `100% <100%> (ø)` | `5 <3> (ø)` | :x: || [o/internal/creation/settings/creationsettingsjava](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480754573cdb0eed2493ddd09d4470ecd853d3a555b94?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9jcmvhdglvbi9zzxr0aw5ncy9dcmvhdglvblnldhrpbmdzlmphdme) | `9512% <100%> (-488%)` | `18 <1> (-1)` | || [nal/creation/instance/constructorinstantiatorjava](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480754573cdb0eed2493ddd09d4470ecd853d3a555b94?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9jcmvhdglvbi9pbnn0yw5jzs9db25zdhj1y3rvckluc3rhbnrpyxrvci5qyxzh) | `100% <100%> (+129%)` | `25 <15> (+12)` | :white_check_mark: || [rg/mockito/internal/creation/mocksettingsimpljava](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480754573cdb0eed2493ddd09d4470ecd853d3a555b94?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9jcmvhdglvbi9nb2nru2v0dgluz3njbxbslmphdme) | `92% <100%> (+095%)` | `39 <3> (+2)` | :white_check_mark: || [to/internal/configuration/spyannotationenginejava](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480754573cdb0eed2493ddd09d4470ecd853d3a555b94?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9jb25mawd1cmf0aw9ul1nweufubm90yxrpb25fbmdpbmuuamf2yq) | `95% <0%> (-319%)` | `26% <0%> (+2%)` | || [o/exceptions/verification/wantedbutnotinvokedjava](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480754573cdb0eed2493ddd09d4470ecd853d3a555b94?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9legnlchrpb25zl3zlcmlmawnhdglvbi9xyw50zwrcdxrob3rjbnzva2vklmphdme) | `100% <0%> (+3333%)` | `2% <0%> (+1%)` | :white_check_mark: |------[continue to review full report at codecov](https://codecovio/gh/mockito/mockito/pull/935?srcpr&elcontinue)> **legend** - [click here to learn more](https://docscodecovio/docs/codecov-delta)> `δ  absolute <relative> (impact)` `ø  not affected` `?  missing data`> powered by [codecov](https://codecovio/gh/mockito/mockito/pull/935?srcpr&elfooter) last update [b413bbe6a82c03](https://codecovio/gh/mockito/mockito/compare/b413bbeee9f6dc4b61bee8fb394c0c376dc480756a82c030756a30932406d6b807e7ca34f20631e3?elfooter&srcpr&ellastupdated) read the [comment docs](https://docscodecovio/docs/pull-request-comments) || question: this patch was built on top of master for the next release should i have built it on top of release/2x? || @mureinik yes please 😄  || @timvdlippe doneits slightly less elegant in 2x as the source compatibility level is 16 not 18 (so no `stream`s or `optional`s) but the idea remains the samefeedback more than welcome || @christianschwarz thanks for the comments - will take a look tomorrow hopefully when i have a bit more bandwidth || @szczepiq @christianschwarz thanks for your comments i was a bit swamped last week and didnt manage to address the earlier ones will look into all of them this week - hopefully tomorrow or tuesday || rebased in order to apply pr #934 so i can build locally and get the ci passing no other changes applied yet || uploaded an updated patch changes since last revision (in response to comments above):- rebased on top of current 2x branch so that it can build locally with java 8- added a null check in `useconstrutor` allowing to clear up some other null checks- added documentation javadoc and since tags- added some more test casesopen issues:- handling ambiguity - do we try to infer the consturctors argument types from the argument list? if so how do we handle ambiguity or actually - do we? isnt it easier to throw up an exception?- exception messages as detailed aboveand of course any other comments are more than welcome || > options for ambiguity:> >    1 use 1st constructor that matches>    2 throw an exception3 use the constructor the compiler would choose[classgetconstructor(class<?> argtypes)](https://docsoraclecom/javase/8/docs/api/java/lang/classhtml#getconstructor-javalangclass-) should do the trick || wrt handling ambiguity im starting to think that throwing an exception is the only viable option here to recap the suggestions:> use 1st constructor that matches`class#getconstructors` does not guarantee anything about the order of constructors returned making this behavior very fragile - not only could adding new constructors break existing tests running the same tests from different jdks could potentially produce different results> use the constructor the compiler would choose classgetconstructor(class<?> argtypes) should do the trickunless ive completely misunderstood the suggestion this wont work `getconstrucor(class<?>)` matches the static types the constructor expects since were only providing the arguments themselves all we have is the runtime types the following example should illustrate my point (uploaded as a `txt` file due to githubs restructions - just rename it to `java` if you want to compile and run it):[constructorfunjavatxt](https://githubcom/mockito/mockito/files/784964/constructorfunjavatxt)unless anyone has a better idea ill amend this patch to throw an exception if there are two potential constructors that match the given argument list || @mureinik sorry my fault it was pretty  sure getconstructor() would make it fyi: apache-commons-lang has [constructorutils](https://githubcom/apache/commons-lang/blob/master/src/main/java/org/apache/commons/lang3/reflect/constructorutilsjava#l244) but i guess it wont work if null arguments are involved || @christianschwarz `constructorutils` offers a slight improvement on our suggested first approach to quote the documentation: >first it checks if there is a constructor matching the exact signature if not then all the constructors of the class are checked to see if their signatures are assignment-compatible with the parameter types the first assignment-compatible matching constructor is returnedwe could implement such a behavior but imho it still suffers from all the problems i listed above || ci seems to complain about this:```import static orgmockitointernalutilstringjoinerjoin                                       ^  symbol:   class stringjoiner  location: package orgmockitointernalutil/home/travis/build/mockito/mockito/src/main/java/org/mockito/internal/util/platformjava:11: error: static import only from classes and interfacesimport static orgmockitointernalutilstringjoinerjoin^/home/travis/build/mockito/mockito/src/main/java/org/mockito/internal/util/platformjava:55: error: cannot find symbol            description  join(                          ^  symbol:   method join(stringstringstringstringstringstringstring)  location: class platform```my patch does not contain any such codeis travis automatically rebasing it?edit:seems that travis is indeed rebasing submitted patches the 2x build is currently broken presumably by a faulty backporting of a patch from master that attempts to use `stringjoiner` my pr #959 should fix it || new patch includes:- made a decision about multiple matching constructors (an exception is thrown in the discussion above we couldnt find any better idea)- improved error messages specifically distinguished the 0-arg consturctor usecase (looking at the discussion above i cant find any way that distinguighing an inner class would produce better messages)- added tests for above scenarios and beefed up existing tests once pr #959 or something equivalent is merged and the the build passes again travis should produce coverage details on this patch if anything is missing ill add tests to cover itas always feedback more than welcome || latest push was rebased on top on recent build-fix in order to force ci to run and generate coverage report || the travis build is done but it doesnt report back to this page what am i missing? || probably an issue with github/travis it aint your issue 😄  || @timvdlippe i figured as much i wonder though if theres any way to force it to rerun id really like to see the codecov report for this patch || i have restarted one of the jobs hopefully that should flush codecov/travis || @szczepiq we kinda lost speed on this - would you have the time to take a look at the revised patch? || @mureinik thank you for your patience! ive been on holidays in mexico and returned this weekend i will review by the end of tomorrow and most likely merge :) || also can you rebase? there are some conflicts thanks! || updated the pr with new patches as per @szczepiq s review above this revision contains:- improved error messages note that as discussed above new patches were added to extend `checks` functionality while this is needed for the error messages in this patch it is not intrinsic to it and may prove useful in other future work too- added missing test cases and made the existing ones more explicit- rebased against `relesae/2x` and solved merge conflicts in `mockitojava` `@since` tags and documentation entries were updated to refer to 2714 (which this patch will hopefully be a part of) instead of 2712 which has already been released || reviewing ||
93,680,942,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,allow spying on interfaces so that it is convenient to work with java 8 default methods fixes #680 # [codecov](https://codecovio/gh/mockito/mockito/pull/942?srcpr&elh1) report> merging [#942](https://codecovio/gh/mockito/mockito/pull/942?srcpr&eldesc) into [release/2x](https://codecovio/gh/mockito/mockito/commit/64ab2f7f52c2cc8f0a3381df5fecbc8d30b5d765?srcpr&eldesc) will **increase** coverage by `002%`> the diff coverage is `n/a````diff@@                coverage diff                @@##             release/2x     #942      +/-   ##+ coverage          8656%   8658%   +002%     + complexity          2254     2252       -2       files                289      289                lines               5738     5733       -5       branches             663      662       -1     - hits                4967     4964       -3     + misses               582      581       -1     + partials             189      188       -1```| [impacted files](https://codecovio/gh/mockito/mockito/pull/942?srcpr&eltree) | coverage δ | complexity δ | ||---|---|---|---|| [to/internal/configuration/spyannotationenginejava](https://codecovio/gh/mockito/mockito/compare/64ab2f7f52c2cc8f0a3381df5fecbc8d30b5d765552353622156598e88d0ff17a2f40f8d80779a06?srcpr&eltree#diff-c3jjl21haw4vamf2ys9vcmcvbw9ja2l0by9pbnrlcm5hbc9jb25mawd1cmf0aw9ul1nweufubm90yxrpb25fbmdpbmuuamf2yq) | `9818% <ø> (+318%)` | `24 <ø> (-2)` | :x: |------[continue to review full report at codecov](https://codecovio/gh/mockito/mockito/pull/942?srcpr&elcontinue)> **legend** - [click here to learn more](https://docscodecovio/docs/codecov-delta)> `δ  absolute <relative> (impact)` `ø  not affected` `?  missing data`> powered by [codecov](https://codecovio/gh/mockito/mockito/pull/942?srcpr&elfooter) last update [64ab2f787f3a5e](https://codecovio/gh/mockito/mockito/compare/64ab2f7f52c2cc8f0a3381df5fecbc8d30b5d76587f3a5ee98fcc7c4b6d6d30aec0a2e64562a36eb?srcpr&elfooter&ellastupdated) read the [comment docs](https://docscodecovio/docs/pull-request-comments) || @timvdlippe im ok with not having dedicated coverage for java8 in release/2x we dont have a way of doing it right now so i would not want to block this pr || we did have some tests for java 8 in release 2 so it can be done but lets drop it as requirement for this pr || thanks for review!let me know if the javadoc change looks okay to you || restarted the travis ci jobs and will merge as soon as they are green! ||
94,688,972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,verifies #688: acceptance test to prevent future regression added an acceptance test to verify #688 this is going to fail until mockito updates to the next version of byte buddy (that re-fixes #688) that contains the following commit: https://githubcom/raphw/byte-buddy/commit/98eaf113681b97053419b292ff342f4ea3321879 || could you rebase on `release/2x`? this test should pass now :smile:  || @timvdlippe rebased on `release/2x` and tests are passing now || # [codecov](https://codecovio/gh/mockito/mockito/pull/972?srcpr&elh1) report> merging [#972](https://codecovio/gh/mockito/mockito/pull/972?srcpr&eldesc) into [release/2x](https://codecovio/gh/mockito/mockito/commit/0fe2644767b4526e4db961b511f9c59c34158e6c?srcpr&eldesc) will **not change** coverage> the diff coverage is `n/a`[![impacted file tree graph](https://codecovio/gh/mockito/mockito/pull/972/graphs/treesvg?srcpr&tokenmx80slder0&width650&height150)](https://codecovio/gh/mockito/mockito/pull/972?srcpr&eltree)```diff@@              coverage diff               @@##             release/2x     #972   +/-   ##  coverage          8686%   8686%             complexity          2290     2290             files                287      287             lines               5801     5801             branches             684      684             hits                5039     5039             misses               571      571             partials             191      191```------[continue to review full report at codecov](https://codecovio/gh/mockito/mockito/pull/972?srcpr&elcontinue)> **legend** - [click here to learn more](https://docscodecovio/docs/codecov-delta)> `δ  absolute <relative> (impact)` `ø  not affected` `?  missing data`> powered by [codecov](https://codecovio/gh/mockito/mockito/pull/972?srcpr&elfooter) last update [0fe264479c660b](https://codecovio/gh/mockito/mockito/pull/972?srcpr&ellastupdated) read the [comment docs](https://docscodecovio/docs/pull-request-comments) || thank you guys! nice and clean change and makes mockito safer for our users!!! ||
