pr;Util;NLP;APM;Network;DB;Interpreter;Error Handling;Logging;Lang;Data Structure;DevOps;i18n;Setup;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;Event Handling;App;GIS;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
1133;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;collapse imports;attempt to reduce merge conflicts as it s always the import statements that are conflicting;;0;collapse imports;attempt to reduce merge conflicts as its always the import statements that are conflicting;#1045  a note should be posted somewhere that dont call organize imports or equivalent on `observablejava` so the ide wont expand these imports back to individual instances ||;;;;1;1;collapse importsattempt to reduce merge conflicts as its always the import statements that are conflicting;
1134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;operatortakelast;operator  takelast .  there are two changes comparing with the original implementations: - throw indexoutofboundsexception at once when calling  takelast  with  count < 0 . - replace illegalargumentexception with indexoutofboundsexception  when  count < 0  in  takelastwithtimed .  issue #1060;;0;operatortakelast;operator `takelast`there are two changes comparing with the original implementations:- throw indexoutofboundsexception at once when calling `takelast` with `count < 0`- replace illegalargumentexception with indexoutofboundsexception  when `count < 0` in `takelastwithtimed`issue #1060;#1046  #1048;;;;1;1;operatortakelast;
"1142;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;update  contains  signature to  contains(object);the original  contains  signature can not support the following codes:      java     public void test() {         arraylist<string> l = new arraylist<string>()          l.add( test )          observable<arraylist<string>> o = observable.<arraylist<string>>from(l)          o.contains(arrays.aslist( test ))      }      this pr changes the signature from  contains(t)  to  contains(object) . it s also consistent with  equals(object) .  this change should not break the old codes.;;0;update contains signature to contains(object);""the original `contains` signature can not support the following codes:``` java    public void test() {        arraylist<string> l  new arraylist<string>()        ladd(""""test"""")        observable<arraylist<string>> o  observable<arraylist<string>>from(l)        ocontains(arraysaslist(""""test""""))    }```this pr changes the signature from `contains(t)` to `contains(object)` its also consistent with `equals(object)`this change should not break the old codes"";#1055;;;;1;1;update contains signature to contains(object);"
1144;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;operator delay rebase & fixes;operator delay  issue #1060;;0;operator delay rebase & fixes;operator delayissue #1060;#1065 ;;;;1;1;operator delay rebase & fixes;
1148;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;manual merge of delay pr;;;0;manual merge of delay pr;;;;;;1;1;merge branch operatordelay505 of githubcom:akarnokd/rxjava into merge-delayconflicts:	rxjava-core/src/main/java/rx/observablejava;
1150;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;fix replaysubject terminal state race condition;fixes  with change from @akarnokd;;0;fix replaysubject terminal state race condition;fixes  with change from @akarnokd;unit test to assert this is:``` java    @test    public void testraceforterminalstate() {        final list<integer> expected  arraysaslist(1)        for (int i  0 i < 1000000 i++) {            testsubscriber<integer> ts  new testsubscriber<integer>()            observablejust(1)subscribeon(schedulerscomputation())cache()subscribe(ts)            tsawaitterminalevent()            tsassertreceivedonnext(expected)            tsassertterminalevent()        }    }```i am including that test with a smaller loop size if this bug were to return that test should non-deterministically fail even with the smaller loop || #1068  #1069;;;;1;1;replaysubject testraceforterminalstate();
1158;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;scheduler correctness improvements.;second round on the scheduler correctness issue.  sure it looks more heavy as  scheduledaction  now has its own inner  compositesubscription  and a shared reference to the parent  innersubscription .  i ve tried to benchmark it with  schedulerperformancetests  but that test is flawed: - multiple threads pound on the same long sum value  so naturally additions get lost. - the longobserver gets unsubscribed after the first loop so  from  will not actually call  onnext  but  isunsubscribed  a lot. - does not wait for the computations to finish and basically measures how fast 5m tasks can be added to the newthreadscheduler s innersubscription.  the flawed test gives ~ 11m ops/sec on my machine. if i fix the test and run against the master  5m takes extremely long to finish due to the inherent slowness of add/remove in compositesubscription if large. on my 4 core hyperthread enabled machine  i get 50k-150k ops/second for baseline with a 100k loop.  the proposed changes run with the flawed test gives ~10.8m ops/sec. with the test fixed and with the proposed changes  i get ~1.2m ops/sec.;;0;scheduler correctness improvements;second round on the scheduler correctness issuesure it looks more heavy as `scheduledaction` now has its own inner `compositesubscription` and a shared reference to the parent `innersubscription`ive tried to benchmark it with `schedulerperformancetests` but that test is flawed:- multiple threads pound on the same long sum value so naturally additions get lost- the longobserver gets unsubscribed after the first loop so `from` will not actually call `onnext` but `isunsubscribed` a lot- does not wait for the computations to finish and basically measures how fast 5m tasks can be added to the newthreadschedulers innersubscriptionthe flawed test gives ~ 11m ops/sec on my machine if i fix the test and run against the master 5m takes extremely long to finish due to the inherent slowness of add/remove in compositesubscription if large on my 4 core hyperthread enabled machine i get 50k-150k ops/second for baseline with a 100k loopthe proposed changes run with the flawed test gives ~108m ops/sec with the test  and with the proposed changes i get ~12m ops/sec;#1070 @akarnokd do you need help porting it over to jmh? i can assist with that || that would be great but i dont know how to run a jhm benchmark from netbeans || @akarnokd ideally you run it from the command line as a encapsulated package once you write the benchmark you package it up as a fat jar and then you can execute your test only ala: /gradlew benchmarks -pjmh-f 1 -tu ns -bm avgt -wi 5 -i 5 -r 1 _operatorserializeperf_but just replace the name of the benchmark with yours otherwise it will run this one or all if you leave it outnote that with some fiddling around i did this for netty you can fake it from your ide by either writing a custom junit runner or just doing it like this:  || looks like `onactioncomplete` is no longer used and could be removed? || true im working on something else right now so i come back later to remove it || #1074  > i dont know how to run a jhm benchmark from netbeansi always run them from command line see comments on how to run here:  || > you package it up as a fat jarthis option also exists with the `shadow` task that needs to be renamed to something like `benchmarkjar`:  || here is the benchmark code:  results:  implementation:  || i added performance tests for `observeon` and `subscribeon` using `schedulerscomputation()`:  pull request is far faster on startup (when subscribing to an observable of 1 item) and somewhat faster on long-running observables```/gradlew benchmarks -pjmh-f 1 -tu ns -bm avgt -wi 5 -i 5 -r 1 *computationschedulerperf*```#### new code```result : 235340831 Â±(999%) 490947687 ns/op  statistics: (min avg max)  (90922636 235340831 420715962) stdev  127497555  confidence interval (999%): [-255606856 726288517]benchmark                                   (size)   mode   samples         mean   mean error    unitsrscomputationschedulerperfobserveon           1   avgt         5     2180371      207253    ns/oprscomputationschedulerperfobserveon        1024   avgt         5   128238555    17976667    ns/oprscomputationschedulerperfobserveon     1048576   avgt         5 149856485714 19627546003    ns/oprscomputationschedulerperfsubscribeon         1   avgt         5     2197782      267688    ns/oprscomputationschedulerperfsubscribeon      1024   avgt         5   414051806  1536527849    ns/oprscomputationschedulerperfsubscribeon   1048576   avgt         5   235340831   490947687    ns/op``````result : 1509019668 Â±(999%) 4443411014 ns/op  statistics: (min avg max)  (300644144 1509019668 2913322987) stdev  1153939730  confidence interval (999%): [-2934391346 5952430682]benchmark                                   (size)   mode   samples         mean   mean error    unitsrscomputationschedulerperfobserveon           1   avgt         5     2056254      554314    ns/oprscomputationschedulerperfobserveon        1024   avgt         5   101872671    12964522    ns/oprscomputationschedulerperfobserveon     1048576   avgt         5 147002257143  9201133563    ns/oprscomputationschedulerperfsubscribeon         1   avgt         5     2235005      336381    ns/oprscomputationschedulerperfsubscribeon      1024   avgt         5   550600029   482135695    ns/oprscomputationschedulerperfsubscribeon   1048576   avgt         5  1509019668  4443411014    ns/op```#### master```result : 63507629 Â±(999%) 131757785 ns/op  statistics: (min avg max)  (38513407 63507629 123730129) stdev  34217078  confidence interval (999%): [-68250156 195265414]benchmark                                   (size)   mode   samples         mean   mean error    unitsrscomputationschedulerperfobserveon           1   avgt         5    51867073    77712741    ns/oprscomputationschedulerperfobserveon        1024   avgt         5   118883112    14487931    ns/oprscomputationschedulerperfobserveon     1048576   avgt         5 154828171429 20611654844    ns/oprscomputationschedulerperfsubscribeon         1   avgt         5    68898012   200669541    ns/oprscomputationschedulerperfsubscribeon      1024   avgt         5    71403833   209712445    ns/oprscomputationschedulerperfsubscribeon   1048576   avgt         5    63507629   131757785    ns/op``````result : 183126150 Â±(999%) 1168534854 ns/op  statistics: (min avg max)  (37927424 183126150 725869905) stdev  303464791  confidence interval (999%): [-985408704 1351661004]benchmark                                   (size)   mode   samples         mean   mean error    unitsrscomputationschedulerperfobserveon           1   avgt         5    50085795    64485544    ns/oprscomputationschedulerperfobserveon        1024   avgt         5   123673009     3130488    ns/oprscomputationschedulerperfobserveon     1048576   avgt         5 151220000000 20063502154    ns/oprscomputationschedulerperfsubscribeon         1   avgt         5    73814774   202116247    ns/oprscomputationschedulerperfsubscribeon      1024   avgt         5    72216122   186483284    ns/oprscomputationschedulerperfsubscribeon   1048576   avgt         5   183126150  1168534854    ns/op``` || one thing i dont like about how this is currently working is that we have to create the `scheduledaction` each time and that feels wasteful when we immediately are putting it inside a queue inside `poolworker` it feels like we should be able to unsubscribe the queue and not need to maintain the `compositesubscription` of `scheduledaction` instancesthis may fit with what @spodila is working on as i believe it will maintain a queue per `worker` and the underlying threads will pull off the queues in other words by eliminating the use of `executor` we get better control of the thread and can get rid of a layer of abstractiongoing to merge this however as it is better than the current implementation and well continue improving this in #1149 || ooops i forgot to mention there might be some unwanted task executions after `newthreadscheduler` is unsubscribed because `executorshutdown()` does not remove pending tasks `executorshutdownnow()` does it || `eventloopscheduler` is not affected because its worker keeps track of the tasks and cancels them ||;;;;1;1;removed unused interface;
1160;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;add  replay  and  multicast  variants to rxscala;this pr has some breaking changes: - change  def multicast[r >: t](subject: rx.lang.scala.subject[r]): (() => subscription  observable[r])  to  def multicast[r >: t](subject: rx.lang.scala.subject[r]): connectableobservable[r]  - change  def replay: (() => subscription  observable[t])  to  def replay: connectableobservable[t]  - remove  observable.apply(int)   so it s better to merge it at the next major release. #1152  #1153.  /cc @headinthebox @samuelgruetter;;1152.0;add `replay` and `multicast` variants to rxscala;this pr has some breaking changes:- change `def multicast[r >: t](subject: rxlangscalasubject[r]): (() > subscription observable[r])` to `def multicast[r >: t](subject: rxlangscalasubject[r]): connectableobservable[r]`- change `def replay: (() > subscription observable[t])` to `def replay: connectableobservable[t]`- remove `observableapply(int)`so its better to merge it at the next major release#1152 #1153/cc @headinthebox @samuelgruetter;#1072  id like someone with better scala skills that me to review this please || ill code review it later today but in principle these are simple fixes to bring the other variants of publish in sync with returning connectable observable || #1081 #1087 looks good || is this reviewed and ready to go? it is conflicting against master so can you please rebase? || this is also conflicting against #1178 i would like to rebase it after #1178 is merged to master || waiting until #1210 is  already merged || [rxjava-pull-requests #1129]( successthis pull request looks good || should this wait until were ready to do 019? || i think this one can be merged since #1188 has already broken the api @headinthebox @samuelgruetter  do you mind it? || go for it ||;rxscala subjects;several of the scala bindings for subjects still return ()>subscription instead of a connectableobservable;ill take it || like! ||;1;0;merge branch master into replay-multicastconflicts:	language-adaptors/rxjava-scala/src/examples/scala/rx/lang/scala/examples/rxscalademoscala	language-adaptors/rxjava-scala/src/main/scala/rx/lang/scala/observablescala	language-adaptors/rxjava-scala/src/test/scala/rx/lang/scala/completenesstestscala;
1160;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;add  replay  and  multicast  variants to rxscala;this pr has some breaking changes: - change  def multicast[r >: t](subject: rx.lang.scala.subject[r]): (() => subscription  observable[r])  to  def multicast[r >: t](subject: rx.lang.scala.subject[r]): connectableobservable[r]  - change  def replay: (() => subscription  observable[t])  to  def replay: connectableobservable[t]  - remove  observable.apply(int)   so it s better to merge it at the next major release. #1152  #1153.  /cc @headinthebox @samuelgruetter;;1153.0;add `replay` and `multicast` variants to rxscala;this pr has some breaking changes:- change `def multicast[r >: t](subject: rxlangscalasubject[r]): (() > subscription observable[r])` to `def multicast[r >: t](subject: rxlangscalasubject[r]): connectableobservable[r]`- change `def replay: (() > subscription observable[t])` to `def replay: connectableobservable[t]`- remove `observableapply(int)`so its better to merge it at the next major release#1152 #1153/cc @headinthebox @samuelgruetter;#1072  id like someone with better scala skills that me to review this please || ill code review it later today but in principle these are simple fixes to bring the other variants of publish in sync with returning connectable observable || #1081 #1087 looks good || is this reviewed and ready to go? it is conflicting against master so can you please rebase? || this is also conflicting against #1178 i would like to rebase it after #1178 is merged to master || waiting until #1210 is  already merged || [rxjava-pull-requests #1129]( successthis pull request looks good || should this wait until were ready to do 019? || i think this one can be merged since #1188 has already broken the api @headinthebox @samuelgruetter  do you mind it? || go for it ||;rxscala: publish overload;overloads for  `public final <r> observable<r> publish(func1<? super observable<t> ? extends observable<r>> selector)` and `public final <tintermediate tresult> observable<tresult> multicast(            final func0<? extends subject<? super t ? extends tintermediate>> subjectfactory            final func1<? super observable<tintermediate> ? extends observable<tresult>> selector)` are missing;ill take it || like! ||;1;0;merge branch master into replay-multicastconflicts:	language-adaptors/rxjava-scala/src/examples/scala/rx/lang/scala/examples/rxscalademoscala	language-adaptors/rxjava-scala/src/main/scala/rx/lang/scala/observablescala	language-adaptors/rxjava-scala/src/test/scala/rx/lang/scala/completenesstestscala;
1161;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;removed use of deprecated api from tests & operators  fixed year in head;ers  added and removed suppressions  fixed line endings  replaced tabs with spaces  i haven t deleted  onsubscribefunc  because i was not sure when the general cleanup of deprecated stuff will happen  i just made sure java tests don t use it anymore.;;0;removed use of deprecated api from tests & operators  year in head;ers added and removed suppressions  line endings replaced tabs with spacesi havent deleted `onsubscribefunc` because i was not sure when the general cleanup of deprecated stuff will happen i just made sure java tests dont use it anymore;#1073 this is some seriously heroic cleanup! thank you very much im so glad to see `safeobservablesubscription` gone! || ditto || reviewing this again while doing release notes  thank you again @akarnokd for this you took care of messy tedious things here that had been piling up for a while and was constantly on the todo list ||;;;;1;1;removed use of deprecated api from tests & operators  year in headers added and removed suppressions fixed line endings replaced tabs with spaces;
"1162;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;fix to remove drift from scheduleperiodic;when implementing the  worker  scheduler pattern in rxcpp i implemented scheduleperiodic differently because i predicted that the rxjava version would drift. once the changes were working  i verified my prediction in rxcpp.   i decided to test the same in rxjava and contribute my approach.  this was my test:      java import java.util.concurrent.timeunit   import rx.scheduler  import rx.schedulers.schedulers  import rx.functions.action0   public class periodic {      public static void main(string args) {          final scheduler scheduler = schedulers.immediate()          final scheduler.worker w = scheduler.createworker()           final long initial = timeunit.seconds.tomillis(2)          final long period = timeunit.seconds.tomillis(1)          final long start = scheduler.now() + initial           w.scheduleperiodically(new action0() {             long count = 0              @override             public void call() {                 long tick = scheduler.now()                  system.out.println(string.format( expected -> %dms  actual -> %dms  drift -> %dms   count*period  tick - start  tick - (start + (count*period))))                  ++count              }         }  initial  period  timeunit.milliseconds)      }  }      the existing impl causes this output:      $ java -cp rxjava-core/build/libs/rxjava-core-0.18.3-snapshot.jar:./ periodic expected -> 0ms  actual -> 1ms  drift -> 1ms expected -> 1000ms  actual -> 1002ms  drift -> 2ms expected -> 2000ms  actual -> 2003ms  drift -> 3ms expected -> 3000ms  actual -> 3004ms  drift -> 4ms expected -> 4000ms  actual -> 4005ms  drift -> 5ms expected -> 5000ms  actual -> 5006ms  drift -> 6ms expected -> 6000ms  actual -> 6007ms  drift -> 7ms expected -> 7000ms  actual -> 7008ms  drift -> 8ms expected -> 8000ms  actual -> 8009ms  drift -> 9ms expected -> 9000ms  actual -> 9010ms  drift -> 10ms expected -> 10000ms  actual -> 10011ms  drift -> 11ms expected -> 11000ms  actual -> 11012ms  drift -> 12ms expected -> 12000ms  actual -> 12013ms  drift -> 13ms expected -> 13000ms  actual -> 13014ms  drift -> 14ms expected -> 14000ms  actual -> 14016ms  drift -> 16ms expected -> 15000ms  actual -> 15017ms  drift -> 17ms expected -> 16000ms  actual -> 16018ms  drift -> 18ms expected -> 17000ms  actual -> 17019ms  drift -> 19ms expected -> 18000ms  actual -> 18020ms  drift -> 20ms expected -> 19000ms  actual -> 19021ms  drift -> 21ms expected -> 20000ms  actual -> 20022ms  drift -> 22ms expected -> 21000ms  actual -> 21023ms  drift -> 23ms expected -> 22000ms  actual -> 22023ms  drift -> 23ms expected -> 23000ms  actual -> 23024ms  drift -> 24ms      with this commit the test outputs:      $ java -cp ./:./rxjava-core/build/libs/rxjava-core-0.18.3-snapshot.jar periodic expected -> 0ms  actual -> 3ms  drift -> 3ms expected -> 1000ms  actual -> 1001ms  drift -> 1ms expected -> 2000ms  actual -> 2001ms  drift -> 1ms expected -> 3000ms  actual -> 3000ms  drift -> 0ms expected -> 4000ms  actual -> 4001ms  drift -> 1ms expected -> 5000ms  actual -> 5000ms  drift -> 0ms expected -> 6000ms  actual -> 6000ms  drift -> 0ms expected -> 7000ms  actual -> 7000ms  drift -> 0ms expected -> 8000ms  actual -> 8001ms  drift -> 1ms expected -> 9000ms  actual -> 9001ms  drift -> 1ms expected -> 10000ms  actual -> 10001ms  drift -> 1ms expected -> 11000ms  actual -> 11001ms  drift -> 1ms expected -> 12000ms  actual -> 12001ms  drift -> 1ms expected -> 13000ms  actual -> 13001ms  drift -> 1ms expected -> 14000ms  actual -> 14001ms  drift -> 1ms expected -> 15000ms  actual -> 15001ms  drift -> 1ms expected -> 16000ms  actual -> 16001ms  drift -> 1ms expected -> 17000ms  actual -> 17000ms  drift -> 0ms expected -> 18000ms  actual -> 18000ms  drift -> 0ms expected -> 19000ms  actual -> 19000ms  drift -> 0ms expected -> 20000ms  actual -> 20000ms  drift -> 0ms expected -> 21000ms  actual -> 21002ms  drift -> 2ms expected -> 22000ms  actual -> 22000ms  drift -> 0ms expected -> 23000ms  actual -> 23001ms  drift -> 1ms expected -> 24000ms  actual -> 24001ms  drift -> 1ms;;0;fix to remove drift from scheduleperiodic;""when implementing the worker scheduler pattern in rxcpp i implemented scheduleperiodic differently because i predicted that the rxjava version would drift once the changes were working i verified my prediction in rxcpp i decided to test the same in rxjava and contribute my approachthis was my test:``` javaimport javautilconcurrenttimeunitimport rxschedulerimport rxschedulersschedulersimport rxfunctionsaction0public class periodic {    public static void main(string args) {        final scheduler scheduler  schedulersimmediate()        final schedulerworker w  schedulercreateworker()        final long initial  timeunitsecondstomillis(2)        final long period  timeunitsecondstomillis(1)        final long start  schedulernow() + initial        wscheduleperiodically(new action0() {            long count  0            @override            public void call() {                long tick  schedulernow()                systemoutprintln(stringformat(""""expected -> %dms actual -> %dms drift -> %dms"""" count*period tick - start tick - (start + (count*period))))                ++count            }        } initial period timeunitmilliseconds)    }}```the existing impl causes this output:```$ java -cp rxjava-core/build/libs/rxjava-core-0183-snapshotjar:/ periodicexpected -> 0ms actual -> 1ms drift -> 1msexpected -> 1000ms actual -> 1002ms drift -> 2msexpected -> 2000ms actual -> 2003ms drift -> 3msexpected -> 3000ms actual -> 3004ms drift -> 4msexpected -> 4000ms actual -> 4005ms drift -> 5msexpected -> 5000ms actual -> 5006ms drift -> 6msexpected -> 6000ms actual -> 6007ms drift -> 7msexpected -> 7000ms actual -> 7008ms drift -> 8msexpected -> 8000ms actual -> 8009ms drift -> 9msexpected -> 9000ms actual -> 9010ms drift -> 10msexpected -> 10000ms actual -> 10011ms drift -> 11msexpected -> 11000ms actual -> 11012ms drift -> 12msexpected -> 12000ms actual -> 12013ms drift -> 13msexpected -> 13000ms actual -> 13014ms drift -> 14msexpected -> 14000ms actual -> 14016ms drift -> 16msexpected -> 15000ms actual -> 15017ms drift -> 17msexpected -> 16000ms actual -> 16018ms drift -> 18msexpected -> 17000ms actual -> 17019ms drift -> 19msexpected -> 18000ms actual -> 18020ms drift -> 20msexpected -> 19000ms actual -> 19021ms drift -> 21msexpected -> 20000ms actual -> 20022ms drift -> 22msexpected -> 21000ms actual -> 21023ms drift -> 23msexpected -> 22000ms actual -> 22023ms drift -> 23msexpected -> 23000ms actual -> 23024ms drift -> 24ms```with this commit the test outputs:```$ java -cp /:/rxjava-core/build/libs/rxjava-core-0183-snapshotjar periodicexpected -> 0ms actual -> 3ms drift -> 3msexpected -> 1000ms actual -> 1001ms drift -> 1msexpected -> 2000ms actual -> 2001ms drift -> 1msexpected -> 3000ms actual -> 3000ms drift -> 0msexpected -> 4000ms actual -> 4001ms drift -> 1msexpected -> 5000ms actual -> 5000ms drift -> 0msexpected -> 6000ms actual -> 6000ms drift -> 0msexpected -> 7000ms actual -> 7000ms drift -> 0msexpected -> 8000ms actual -> 8001ms drift -> 1msexpected -> 9000ms actual -> 9001ms drift -> 1msexpected -> 10000ms actual -> 10001ms drift -> 1msexpected -> 11000ms actual -> 11001ms drift -> 1msexpected -> 12000ms actual -> 12001ms drift -> 1msexpected -> 13000ms actual -> 13001ms drift -> 1msexpected -> 14000ms actual -> 14001ms drift -> 1msexpected -> 15000ms actual -> 15001ms drift -> 1msexpected -> 16000ms actual -> 16001ms drift -> 1msexpected -> 17000ms actual -> 17000ms drift -> 0msexpected -> 18000ms actual -> 18000ms drift -> 0msexpected -> 19000ms actual -> 19000ms drift -> 0msexpected -> 20000ms actual -> 20000ms drift -> 0msexpected -> 21000ms actual -> 21002ms drift -> 2msexpected -> 22000ms actual -> 22000ms drift -> 0msexpected -> 23000ms actual -> 23001ms drift -> 1msexpected -> 24000ms actual -> 24001ms drift -> 1ms```"";""#1077 very nice thanks @kirkshoopwhile considering this i though of something but i havent played with this enough to know exactly how it will behave but if someone chooses an interval of 1ms and the work being done each time takes longer than 1ms what is the expected behavior? we should never have concurrent execution if i understand correctly it will result in a negative delay and result in scheduling it immediately but obviously have drift  || from what i can tell it does the right thing and just delays rather than allow concurrent execution``` javapublic class periodic {    public static void main(string args) {        final scheduler scheduler  schedulersimmediate()        final schedulerworker w  schedulercreateworker()        final long initial  100        final long period  100        final long start  schedulernow() + initial        wscheduleperiodically(new action0() {            long count  0            @override            public void call() {                try {                    threadsleep(1500)                } catch (interruptedexception e) {                }                long tick  schedulernow()                systemoutprintln(stringformat(""""expected -> %dms actual -> %dms drift -> %dms"""" count*period tick - start tick - (start + (count*period))))                ++count            }        } initial period timeunitmilliseconds)    }}``````expected -> 0ms actual -> 1503ms drift -> 1503msexpected -> 100ms actual -> 3009ms drift -> 2909msexpected -> 200ms actual -> 4511ms drift -> 4311msexpected -> 300ms actual -> 6012ms drift -> 5712msexpected -> 400ms actual -> 7513ms drift -> 7113msexpected -> 500ms actual -> 9015ms drift -> 8515ms```based on this im merging this as it is safe in the degraded case while being better in the normal case (work being less time than the interval) || yes that was the behavior before and i kept it there were only two options and skipping a period seemed like the wrong policy to me the user supplies both the function and the period and so they own the behavior (they can return immediately to skip and get back on track or just ensure that the period was sufficient to begin withon may 6 2014 at 9:11 am """"ben christensen"""" <notifications@githubcom<mailto:notifications@githubcom>> wrote:very nice thanks @kirkshoop considering this i though of something but i havent played with this enough to know exactly how it will behave but if someone chooses an interval of 1ms and the work being done each time takes longer than 1ms what is the expected behavior?we should never have concurrent execution if i understand correctly it will result in a negative delay and result in scheduling it immediately but obviously have drift## reply to this email directly or view it on github || this is an excellent improvement im working on something that does microsecond level scheduling and this change makes it work very accurately:```########################################################################################step: 10  interval: 111micros  rate: 9000/s########################################################################################total > success: 315237 error: 0   last 10s > success: 9001/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0total > success: 360280 error: 0   last 10s > success: 9000/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0total > success: 405334 error: 0   last 10s > success: 9001/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0total > success: 450373 error: 0   last 10s > success: 9001/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0```without this change it isnt even close:```########################################################################################step: 10  interval: 111micros  rate: 9000/s########################################################################################total > success: 239363 error: 0   last 10s > success: 6835/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0total > success: 273742 error: 0   last 10s > success: 6869/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0total > success: 308053 error: 0   last 10s > success: 6863/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0total > success: 342820 error: 0   last 10s > success: 6901/s error: 0/s    latency > 50th: 0  90th: 0  99th: 0  100th: 0``` || "";;;;1;1;fix to remove drift from scheduleperiodic;"
1163;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;fix defer for java 8 type-inference;fixes https://github.com/netflix/rxjava/issues/1157;;0;fix defer for java 8 type-inference;fixes https://githubcom/netflix/rxjava/issues/1157;;;;;1;1;fix defer for java 8 type-inferencefixes https://githubcom/netflix/rxjava/issues/1157;
1164;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;jmh perf tests for schedulers.computation;;;0;jmh perf tests for schedulerscomputation;;;;;;1;1;jmh perf tests for schedulerscomputation;
1175;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;fixed synchronous connectableobservable.connect problem;connectableobservable.connect returns a subscription and thus cannot be unsubscribed synchronously  similar how take didn t work before the subscriber changes. this pr modifies the  connectableobservable  and its current implementation  operatormulticast  to extract the connection subscription token before it is connected to the source. cancelling this extracted token makes sure the synchronous connection is unsubscribed.  (the rx.net version of the test case seemingly doesn t exhibit the problem. i suspect it is the interplay of  idisposable s.);;0; synchronous connectableobservableconnect problem;connectableobservableconnect returns a subscription and thus cannot be unsubscribed synchronously similar how take didnt work before the subscriber changes this pr modifies the `connectableobservable` and its current implementation `operatormulticast` to extract the connection subscription token before it is connected to the source cancelling this extracted token makes sure the synchronous connection is unsubscribed(the rxnet version of the test case seemingly doesnt exhibit the problem i suspect it is the interplay of `idisposable`s);#1089 ;;;;1;1; synchronous connectableobservableconnect problem;
1183;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;notificationlite.accept performance improvements;this is a proposal for speeding up the  accept()  method (i.e.  reducing its latency).  benchmark comparison:  direct onnext: 488 mops/s master accept: 378 mops/s this accept: 477 mops/s  (i7 4770k  jdk 1.8u5 x64);;0;notificationliteaccept performance improvements;this is a proposal for speeding up the `accept()` method (ie reducing its latency)benchmark comparison:direct onnext: 488 mops/smaster accept: 378 mops/sthis accept: 477 mops/s(i7 4770k jdk 18u5 x64);#1094 ;;;;1;1;switch to direct accept and no instanceof;
