issueNumber,prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
445.0,1221,1,0,0,1,1,1,0,0,mockitoextension for junit discussion of all thanks to the junit team sbrannen for that great api the implementation was straight forward and the docu is top notch not comparable to a junitrule or runner implementation one can feel the hard work the here provided mockitoextension allows to mock spy validate like the well known mockito junitrule runner this is still work in progress feel free to commentusage java extendwith mockitoextensionclass class junit test { mock private dependency mock test void checkmockcreation { when mockfoo thenreturn hello junit mockfoo verify mock foo }}
1130.0,1228,0,0,0,1,0,0,0,0,add checkreturnvalue to stubbing verification methods introduce a new annotation checkreturnvalue and add this to methods like when and verify such that static analysis can verify the value is actually used this makes sure developers can get warnings on build time instead of run time with our internal validatestate
904.0,1247,1,0,0,1,1,1,0,0,remove several container classes and inline code remove several classes that were containers for code that is easier to be inlined they were only referenced once or never at all this makes it easier to reason about the code while also maintaining less code and classescloses
1254.0,1257,1,1,0,1,1,1,1,0,and improved check for self invocation better checks for recursive calls and guards internally used jdk types fixes
1256.0,1257,1,1,0,1,1,1,1,0,and improved check for self invocation better checks for recursive calls and guards internally used jdk types fixes
106.0,1258,1,1,0,1,1,1,0,0,prevent class loading race condition allow singleton locking in context with class loading races
1262.0,1268,1,1,0,0,1,1,0,0,update doc for answerscalls_real_methods update the documentation for the answerscalls_real_methods according to and also included a note with recommendation not to use when thenreturn for partial mock
1130.0,1270,1,1,0,1,1,1,0,0,cleaner code for mockito users by better integration with static code checkers more checkreturnvalue builds on
792.0,1272,1,1,0,0,1,1,0,0,strictness configurable per mock stubbing today we have strict stubs feature a key enabler for cleaner tests and improved debuggability strict stubs dont work well with common stubbing pattern they also dont like when we call stubbed methods with unexpected arguments even though sometimes it is legit for more see solution java test public void demo { lenient method on mocksettings interface foo mock mockitomock fooclass withsettings lenient lenient method on mockito class mockitolenient when mockfoo thenreturn mockitolenient doreturn when mock foo } for more see public api changes new methods mockitolenient mocksettingslenient mockcreationsettingsislenient stubbinggetstrictness new interfaces basestubber extracted out from existing stubber interface so that we can reuse api with lenientstubber lenientstubber instance returned by mockitolenient other changes made orgmockitonotextensible annotation public so that we can use it in subpackages
108.0,1280,0,0,0,0,1,1,0,0,update strict_stubs documentation for verifynomoreinteractions
1232.0,1301,1,0,0,1,1,1,1,0,extend mockitosession builder api to enable usage by testing frameworks the first commit in this pr in the additional commits ive taken the liberty to implement my proposals from add mockitosessionbuildername string to pass a name from the testing framework to the mockitosession add mockitosessionbuilderlogger mockitosessionlogger to customize the logger used for hints warnings produced when finishing mocking useful for testing and to connect reporting capabilities provided by testing frameworks such as junit jupiter add mockitosessionfinishmocking throwable to avoid potentially confusing warnings for failing tests add mockitosessionsetstrictness strictness to change the strictness of the current session there were two test cases requiring that each of these changes is in a separate commit thus it should be relatively easy to take only those changes that you think good or just the first one to to showcase that this new api is sufficient to implement an extension of a testing framework ive changed the junitrule implementation to use it
1306.0,1307,1,0,0,0,1,1,0,0,update public api of invocationfactory needed for android static mocking a real method might throw a throwable but the invocations produced byinvocationfactory call the real method via a callable that can onlythrow a exceptionhence add a new method to invocationfactory that allows to createinvocations with a realmethodbehavior a callable that throws athrowable
1279.0,1310,0,0,0,0,1,1,0,0,ensure isolation of stubbings compatibilityfor certain corner cases this bugfix may be incompatible we believe that the exposure is minimal corner cases only possibly incorrect tests and the bugfix important if your test fails after upgrading to mockito version that contains this fix please scrutinize the test it is very likely that the test is incorrect we apologize for any compatibility problems arising from this change it is a hard decision to make when a bugfix changes the behavior in a way it may not be compatible with every mockito test in the worldwhen stubbing with answers that call different mocked methods javawhen mockfoo the swer { othermockbar } we need to ensure that mockfoo and othermockbar dont interfere prior to this bugfix this scenario resulted in various problems like stack overflow error unexpected stubbings declared on different mock unexpected invalid return type errorsfor more details see solutionthe solution is based on great pr by r smirnov huge thanks to r smirnov for reporting the problem diligently then digging into the bowels of mockito to find a clean solution providing excellent test cases that demonstrate the problem when i initially saw the issue report i thought that its not fixable and we would close it as documented mockito syntax caveat thank you r smirnov for persistence and getting this
1296.0,1310,0,0,0,0,1,1,0,0,ensure isolation of stubbings compatibilityfor certain corner cases this bugfix may be incompatible we believe that the exposure is minimal corner cases only possibly incorrect tests and the bugfix important if your test fails after upgrading to mockito version that contains this fix please scrutinize the test it is very likely that the test is incorrect we apologize for any compatibility problems arising from this change it is a hard decision to make when a bugfix changes the behavior in a way it may not be compatible with every mockito test in the worldwhen stubbing with answers that call different mocked methods javawhen mockfoo the swer { othermockbar } we need to ensure that mockfoo and othermockbar dont interfere prior to this bugfix this scenario resulted in various problems like stack overflow error unexpected stubbings declared on different mock unexpected invalid return type errorsfor more details see solutionthe solution is based on great pr by r smirnov huge thanks to r smirnov for reporting the problem diligently then digging into the bowels of mockito to find a clean solution providing excellent test cases that demonstrate the problem when i initially saw the issue report i thought that its not fixable and we would close it as documented mockito syntax caveat thank you r smirnov for persistence and getting this
1314.0,1319,1,0,0,0,1,1,0,0,include all the invocation in mock verification error message have changes the verify error message to include all the invocation instead of including just one undesired invocationpreviously we have message like wanted time at but was times undesired invocation at this pr changes it to wanted time at but was times at at to make the error message consistent the similar changes was made for too little invocations casethe message wanted times at but was times at changed to wanted times at but was times at at
111.0,1320,1,1,0,1,1,1,1,0,avoid bytebuddy import issue to enable repackaging without bytebuddy this allows libs that use alternate mockmakers do cleanly exclude the bytebuddy subdirectorytest grep r e import org\mockito\internal\creation\bytebuddy\ ^\ $ src main does not return anythingoffers workaround for
1326.0,1327,0,0,0,0,1,0,1,0,reduce the allocation rate for the typical use of locat… …ionimpla trivial one but should be very useful as i noticed this class being instantiated quite a lot
1346.0,1349,1,0,0,1,1,1,0,0,different mocks are used for mock and injectmock in the same test class with junit extension fix mockitoextension which has init mocks with two identical test instances which cause the mock to be initialized and injected two times
1348.0,1350,1,1,0,1,1,1,1,0,support local parameters in test methods with junit jupiter note that this implementation differs from the prototype implementation of the junitteam instead it will do not do any parameter resolution between test methods
1367.0,1368,0,1,1,1,1,0,0,0,resolve the correct protection domain for the codegen package when using reflection
1364.0,1369,1,1,0,1,1,1,0,1,performance improvements use less expensive method graph compiler for inline mock maker update byte buddy for general performance improvements and bug fixes also fixes javadoc warning
1240.0,1378,1,1,0,1,1,1,0,1,avoid circularity avoid endless loop during mock creation if certain types a type for the first time during instrumentation while our mocking engine relies on the same types this can cause a circularity as checking if an instance is a mock requires instances of the latter types what again returns to the latter mock checking routine what causes an endless loop described in comment it is a bit difficult to reproduce this issue in our tests it mainly happens with classes generated by kotlin or scala and requires the inline mock maker and a jdk or older if we want to add such a test we can copy the test from https githubcom guenhter mockito final class kotlin problem
1386.0,1387,1,0,0,0,0,1,0,0,adding atmostonce rename threadverifiescontinuoslyinteractingmocktest and one todo hii would like to make a quick contribution on this projecti add atmostonce it seems not to be a big feature i just want to highlight the fact you have the function atleastonce but nothing for the atmostonce casei rename the testclass threadverifiescontinuoslyinteractingmocktest on threadverifiescontinuouslyinteractingmocktest and the todo on tostring from hamcrestargumentmatcher
1390.0,1391,1,0,0,0,0,1,0,0,make mockitoextension constructor public it is possible to register an extension for automatic use using javas serviceloader mechanism projects may want to provide their own meta inf file to avoid tediously adding mockitoextension to tests since it is very common however serviceloader requires the class to have a no args public constructor so the current extension cannot be used with the serviceloader mechanism check list read the contributing guide pr should be motivated ie what does it fix why and if relevant how if possible relevant include an example in the description that could help all readers including project members to get a better picture of the change avoid other runtime dependencies meaningful commit history intention is important please rebase your commit history so that each commit is meaningful and help the people that will explore a change in years the pull request follows coding style mention fixes in the description _if relevant_ at least one commit should mention fixes _if relevant_
1401.0,1402,1,0,0,0,1,1,0,0,correctly handle varargsmatcher check for hamcrestmatchers
1419.0,1426,1,1,0,1,1,1,0,1,mockito on java ea requires dnetbytebuddyexperimentaltrue system property to be set to let bytebuddy use asm api version asm _expermiental and use the same one in inlinebytecodegenerator
1438.0,1439,1,1,0,0,1,1,0,0,javadoc update ignorestubs to include strictness it updates ignorestubs docs to include strictness information
793.0,1458,1,0,0,0,1,1,0,0,add stubbinglookupevent and notifier a part of this pr adds stubbinglookupevent and stubbinglookupnotifier as a part of the issue
1460.0,1463,0,0,0,0,0,1,0,0,prevent stubonly from being verified this pr adds assertion to verification methods to prevent stub only mock from being verified verify verifynomoreinteractions inorder
1466.0,1543,1,0,0,0,1,1,1,0,exposed new api stubbinglookuplistener exposed new public api based on an internal api stubbinglookuplistener as a rule of a thumb we try to expose the internal apis that the top level features are built upon since stubbinglookuplistener is useful for us to implement strictness lets get the former exposed as public api this way we build stronger framework with the concept of onion skin apithis pr replaces very nice pr from marchpig due to number of changes i needed to do i decided to reimplement the feature rather than use the original pr marchpig thank you for understanding
793.0,1543,1,0,0,0,1,1,1,0,exposed new api stubbinglookuplistener exposed new public api based on an internal api stubbinglookuplistener as a rule of a thumb we try to expose the internal apis that the top level features are built upon since stubbinglookuplistener is useful for us to implement strictness lets get the former exposed as public api this way we build stronger framework with the concept of onion skin apithis pr replaces very nice pr from marchpig due to number of changes i needed to do i decided to reimplement the feature rather than use the original pr marchpig thank you for understanding
1541.0,1544,1,0,0,0,1,1,0,0,prevent premature garbage collection of mock objects if using one liner stubs the mock object may be premature cleaned up and returning the mock fails with an exception this occurs because there is no strong reference to the mock itselftherefore we need to maintain a strong reference to the mock until weve returned it while making sure that the gc can still cleanup the mock correctly when neededcause implementations of basestubbing are intended to be cleaned up after usage we can store a strong ref to the mock there getmock then uses the strong ref instead of the weak ref provided by the invocation after cleaning up the implementations of basestubbing there is no strong ref to the mock itself anymore except the one in the test class i tried some alternative solutions but i believe this is the only way it works bind last mock creation to mockingprogress does not work because of this when mock testclass class gettestclass thenreturn mock testclassclass getmock bind mock of last invocation for stubbing to mockingprogress does not work because of this when mock testclassclass getstuff thenreturn x thenreturn when mock testclassclass getstuff thenreturn xxx getmock getstuff getmock
151.0,1549,1,0,0,0,1,1,0,0,issue with leftover state when stubbing with bad throwables issue with leftover state when stubbing with bad throwables
155.0,1552,0,0,0,0,0,1,0,0,minimal test to repro generic issue with smart nulls created a minimal test that reproduces bug with smart nulls and generics see issue
155.0,1554,0,0,0,0,0,0,0,0,verifyerror when junit is in the classpath mockito will throw verifyerror during its junit detection when junit is in the classpath because the code only supports junit and laterthis change will catch this error and pretend that junit is not thereissue
1551.0,1576,0,0,0,0,1,1,1,0,fix bug cce on smart not null answers this pr intends to for fix it the returnssmartnulls answer use now some reflection to find the correct return type instead of the javautilobject when the return type can be found it will start to retrieve empty values using the answer returnsmoreemptyvalues & returnsemptyvalues before creating a new mock instanceas you may notice in tests there is still one case where the return type cannot be found in this case the answer will return a null instead of object mocki think it may be possible to improve this code any suggestion will be welcome
1577.0,1582,1,0,0,0,1,1,1,0,refactoring naming rule for sealed packages to better work with the java module system the java module system consideres packages of all named modules to be sealed this results in the naming strategy to rename classes such that they cannot subclass package private types
1584.0,1585,1,1,1,1,1,1,1,0,where multipleparentclassloader lacks of classloaders of superclasses the multipleparentclassloader is now composed also with classloaders of supertypes of the mockedtype so in osgi is able to load all declared types in the hierarchy
1587.0,1588,1,0,0,1,1,0,0,0,remove unnecessary loop from injectingannotationengine removes injectingannotationengine processinjectmocks method that does an unnecessary loopfixes https githubcom mockito mockito issues
1578.0,1596,0,0,0,0,0,1,0,0,outer class mocks unavailable from inner class i opened issue a few weeks ago that went without an correspondence so i apologize if submitting a pr isnt the ideal method of moving this issue forward however i am hoping i can get this fix incorporated into an official version without implementing temporary workaroundsthe pr should clearly show the issue i am trying to fix but i had to introduce a testcompile snapshot dependency the dependent project has a fix required to demonstrate the issue within mockito but it unfortunately has not been incorporated into an official release and i cant think of another way to reproduce the issue i have contacted the owner of the dependent project but i havent received a response from them eitheri am looking for guidance on next steps for what i believe to be regression reported to be working in the only other solution i can think of is to merge this without a unit test but i highly doubt that is desirable_git commit message_ problem junitrule detects an unfinished mocking session when an inner class is detected fix if a mockitosession has been established for junitrule then use that and init mocks of the inner class tests within an inner class ensure mocks are accessible override outer class values when desired retain original values if not overwritten demonstrated with debechtejunit junit hierarchicalcontextrunner snapshot
353.0,1596,0,0,0,0,0,1,0,0,outer class mocks unavailable from inner class i opened issue a few weeks ago that went without an correspondence so i apologize if submitting a pr isnt the ideal method of moving this issue forward however i am hoping i can get this fix incorporated into an official version without implementing temporary workaroundsthe pr should clearly show the issue i am trying to fix but i had to introduce a testcompile snapshot dependency the dependent project has a fix required to demonstrate the issue within mockito but it unfortunately has not been incorporated into an official release and i cant think of another way to reproduce the issue i have contacted the owner of the dependent project but i havent received a response from them eitheri am looking for guidance on next steps for what i believe to be regression reported to be working in the only other solution i can think of is to merge this without a unit test but i highly doubt that is desirable_git commit message_ problem junitrule detects an unfinished mocking session when an inner class is detected fix if a mockitosession has been established for junitrule then use that and init mocks of the inner class tests within an inner class ensure mocks are accessible override outer class values when desired retain original values if not overwritten demonstrated with debechtejunit junit hierarchicalcontextrunner snapshot
357.0,1612,1,0,0,0,1,1,1,0,return null instead of causing a cce this solves a large number of edge cases where null will actuallyremove the runtime classcastexception this essentially negates thewhole mockitocast errorprone check we can still not support every usecase but causing a npe instead of a cce does not seem to make thisworsei am still running internal tests within google to see if there are anyregressions but i already saw that some of the test failures we hadwith bytebuddy were resolved with this particular patchnote that this now fully closes a previous pr resolved the sameissue with returnssmartnulls
1615.0,1617,1,0,0,0,0,1,1,0,with mocking of javautil classes i hope the test is correct at least it failed before and succeeds now
1532.0,1619,1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test in certain specific rare scenarios issue inline mocking causes memory leaks there is no clean way to mitigate this problem completely hence we introduced a new api to explicitly clear mock state only make sense in inline mocking javapublic class exampletest { after public void clearmocks { mockitoframework clearinlinemocks } test public void sometest { } } due to the introduction of map from weak reference from mock instance toits invocation handler mockito became vulnerable to memory leaks asthere are multiple situations where mockito could unintentionally holdstrong references to mock instances in the map record the strongreferences could be through spiedinstance for spies and arguments usedto facilitate method stubbingmockito could never know if the arguments passed in for method stubbingare also strongly referenced somewhere else or not so mockito needs tosave a strong reference to these arguments to avoid premature gctherefore to solve cyclic strong references through arguments mockitoneeds to explicitly know when mocks are out of their life and cleanup all internal strong references associated with them and
1533.0,1619,1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test in certain specific rare scenarios issue inline mocking causes memory leaks there is no clean way to mitigate this problem completely hence we introduced a new api to explicitly clear mock state only make sense in inline mocking javapublic class exampletest { after public void clearmocks { mockitoframework clearinlinemocks } test public void sometest { } } due to the introduction of map from weak reference from mock instance toits invocation handler mockito became vulnerable to memory leaks asthere are multiple situations where mockito could unintentionally holdstrong references to mock instances in the map record the strongreferences could be through spiedinstance for spies and arguments usedto facilitate method stubbingmockito could never know if the arguments passed in for method stubbingare also strongly referenced somewhere else or not so mockito needs tosave a strong reference to these arguments to avoid premature gctherefore to solve cyclic strong references through arguments mockitoneeds to explicitly know when mocks are out of their life and cleanup all internal strong references associated with them and
1614.0,1619,1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test in certain specific rare scenarios issue inline mocking causes memory leaks there is no clean way to mitigate this problem completely hence we introduced a new api to explicitly clear mock state only make sense in inline mocking javapublic class exampletest { after public void clearmocks { mockitoframework clearinlinemocks } test public void sometest { } } due to the introduction of map from weak reference from mock instance toits invocation handler mockito became vulnerable to memory leaks asthere are multiple situations where mockito could unintentionally holdstrong references to mock instances in the map record the strongreferences could be through spiedinstance for spies and arguments usedto facilitate method stubbingmockito could never know if the arguments passed in for method stubbingare also strongly referenced somewhere else or not so mockito needs tosave a strong reference to these arguments to avoid premature gctherefore to solve cyclic strong references through arguments mockitoneeds to explicitly know when mocks are out of their life and cleanup all internal strong references associated with them and
1618.0,1620,1,0,0,0,1,1,1,0,fix strict stubbing profile serialization support when strict stubs profile is enabled mock serialization doesnt workthis pr fixes this problem
1621.0,1624,1,1,0,1,1,1,1,0,handle terminal type var with bounds this pr aim to fix the issue described in the issue being that terminal type variable arguments were not looked up for their bounds
1642.0,1644,0,0,0,0,1,1,0,0,verificationcollector to handle non matching args and other assertions this fix for widens the catch in verificationcollectorimpl so that it will catch any assertionerror rather than just mockitoassertionerror in this way any comparison failures such as the built in argument comparison when running under junit will also be collected rather than propagating through to the test frameworkthere are also two commits which are more cosmetic improvements to verificationcollectorimpltest rename assertatleastonefailure to assertexactlyonefailure more accurate description of what it does change assertfail to assertjs assertbecauseexceptionwasnotthrown produces better diagnostics in the case of a failure
166.0,1665,1,0,0,1,1,0,1,0,new public api invocationgetargumentsasmatchers new public api invocationgetargumentsasmatchers useful for advanced integrations such as mockito scala some internal refactorings that provide temporary help with mockito scala integration
1663.0,1667,1,1,0,1,1,1,0,0,improved ide experience for junit visual comparison failure when junit mockito is used in modern ide idea eclipse we now show visual comparison failure pop up for certain mockito exceptions such as argumentsaredifferent
1599.0,1672,0,0,0,0,1,1,0,0,report initialization failures per test method prior to this commit defaultinternalrunner threw an exception when mockitoannotationsinitmocks failed from the overridden withbefores method instead it now returns a statement that isresponsible for initializing potential exceptions are then handled byjunit regardless whether version or beta is used insteadof reporting a class level error junit will now report a failure foreach test method in such test classesrelated issue junit team junit read the contributing guide pr should be motivated ie what does it fix why and if relevant how if possible relevant include an example in the description that could help all readers including project members to get a better picture of the change avoid other runtime dependencies meaningful commit history intention is important please rebase your commit history so that each commit is meaningful and help the people that will explore a change in years the pull request follows coding style mention in the description _if relevant_ at least one commit should mention fixes _if relevant_
1692.0,1693,1,0,1,0,1,0,0,0,make mockitonotextensible service loadable this way error prone can find the plugin when mockito errorprone is added to the annotation processor classpath
1542.0,1701,1,0,0,1,1,1,0,0,show multiple invocations on argumentsaredifferent this is the reconciliation of with the tests and implementation rebased on release x
1556.0,1701,1,0,0,1,1,1,0,0,show multiple invocations on argumentsaredifferent this is the reconciliation of with the tests and implementation rebased on release x
1623.0,1708,1,0,0,1,1,1,0,0,rename toolittleactualinvocations rename the exception toolittleactualinvocations totoofewactualinvocations as this is more correct english as thisexception is public api we rename by subclassing and deprecating theoriginal rename all tests and internal methods that were referencingthe old name by aligning with the new namecheck list read the contributing guide pr should be motivated ie what does it fix why and if relevant how if possible relevant include an example in the description that could help all readers including project members to get a better picture of the change avoid other runtime dependencies meaningful commit history intention is important please rebase your commit history so that each commit is meaningful and help the people that will explore a change in years the pull request follows coding style mention in the description _if relevant_ at least one commit should mention fixes _if relevant_
1713.0,1714,1,1,0,0,1,1,0,0,fix typo in mockitojava javadoc i was confused and tried to look for verifynomoreinvocations when i came across this javadocshopefully this prevents further confusion
298.0,1715,1,0,0,0,0,1,0,0,replaces objenesis references from stubbing classes with plugin equivalents this enables the ios mockito plugin to upgrade to v
1717.0,1718,1,1,0,1,1,1,0,1,configure the methodvisitor for java compatibility im looking into adding a unit test if i can find how to use byte buddy to generate a class with a conditional dynamic instruction when running with java
1716.0,1723,0,0,0,0,0,0,0,0,change implementation of exceptionfactory to explicitly test for dependent classes the original implementation of conditional opentest j support relied on some implicit behaviour of the java classloader to generate and catch the exception at the right time it seems that this behaviour is not always exactly replicated in all environments for example in where mockito was being used in an instrumentation test that was being run on an android emulatorthe new implementation is a bit more direct in how it tests for the dependent classes the existing test cases still pass and matejdro confirmed that this his problem
977.0,1733,1,1,0,1,1,1,1,0,verifynointeractions guarantees no interactions with mock with i provided a fix to and however that pr targeted master which eventually became old x and its code didnt make it into release x and should be reopenedi have back ported that pr to target release x verifyzerointeractions is marked as deprecated and a new verifynointeractions is added there are no breaking changes afaik so this code is backwards compatiblesince i dont know if when this code will ship javadocs contain a placeholder since xx
989.0,1733,1,1,0,1,1,1,1,0,verifynointeractions guarantees no interactions with mock with i provided a fix to and however that pr targeted master which eventually became old x and its code didnt make it into release x and should be reopenedi have back ported that pr to target release x verifyzerointeractions is marked as deprecated and a new verifynointeractions is added there are no breaking changes afaik so this code is backwards compatiblesince i dont know if when this code will ship javadocs contain a placeholder since xx
1743.0,1745,1,1,0,0,1,1,0,0,clarify default answer in api changes postponed to default answer has not been changed in
1513.0,1760,1,1,0,0,1,1,0,0,minor bug fixes removed typofixes added missing tag to fix javadocsupersedes and closes
1747.0,1760,1,1,0,0,1,1,0,0,minor bug fixes removed typofixes added missing tag to fix javadocsupersedes and closes
1758.0,1762,1,0,0,1,1,1,1,0,method generictypeextractorfindgenericinterface always … …returns first interface
1769.0,1773,0,0,0,0,1,1,0,0,clarify default strict stubbing behaviour in similar to as requested by timvdlippe in
178.0,1781,1,0,0,0,1,1,0,0,close file handle to avoid a file handle leak fix a small file handle leak which pops up when running tests with file leak detector
1780.0,1781,1,0,0,0,1,1,0,0,close file handle to avoid a file handle leak fix a small file handle leak which pops up when running tests with file leak detector
1786.0,1787,1,1,0,0,1,1,0,0,clarify differences between timeout and after tries to improve the javadoc for timeout to differentiate it from after directly in the first sentence
1630.0,1788,0,0,0,0,0,1,0,0,upgraded junit jupiter we need higher version of junit jupiter to reproduce and added a test to enhance coverage
1630.0,1789,1,0,0,1,1,1,0,0,junit jupiter parallel issue this fix improves mockito junit jupiter extension however it does not completely resolve all kinds of parallel issues when nested test classes are used ill open a separate ticket for it
1791.0,1798,1,1,0,0,1,1,0,0,fix typo in the wiki link check list read the contributing guide pr should be motivated ie what does it fix why and if relevant how if possible relevant include an example in the description that could help all readers including project members to get a better picture of the change avoid other runtime dependencies meaningful commit history intention is important please rebase your commit history so that each commit is meaningful and help the people that will explore a change in years the pull request follows coding style mention fixes in the description _if relevant_ at least one commit should mention fixes _if relevant_
1587.0,1810,0,0,0,0,0,1,0,0,revert remove unnecessary loop from injectingannotationengine reverts mockito mockito related to heres a pseudo code to describe the issues around this issue before while clazz objectclazz { val mocks aggregatespyormockfields clazzgetmockfields val fields aggregateinjectmocksfields clazz val ret tryconstructorinjection clazz fields mock if retfieldwasinitializedusingconstructorinjection { trysetterorpropertyinjection clazz fields mock } clazz clazzgetsuperclass } after val mocks aggregatespyormockfields clazzgetmockfields val fields aggregateinjectmocksfields clazz val ret tryconstructorinjection clazz fields mock if retfieldwasinitializedusingconstructorinjection { trysetterorpropertyinjection clazz fields mock } detailsbefore if the injectmocks field has a field that not listed in the constructor argument will fill by setter property injection at the nd loop 😃it may not the expected behaviors by mockito authors but some users code depends on this behaviormy suggestion is to revert the remove unnecessary loop from injectingannotationengine by lihmeh · pull request · mockito mockito · github at this time
1771.0,1813,1,1,0,1,1,0,1,0,upgrade byte buddy to from release notes commits raphw byte buddy byte buddy byte buddy
181.0,1818,1,1,0,0,1,1,0,0,add duration overloads add new javatimeduration based public apis to mockito after and timeout and deprecate the corresponding long based public apisplumb those duration instances through the internals of mockito
181.0,1819,0,0,0,0,1,1,0,0,deprecate mockitohamcrest this class was used during the migration period from mockito andmockito but is no longer necessary to be able to remove ourdependency on hamcrest we should remove mockitohamcrestin response to
1767.0,1821,0,0,0,0,1,1,0,0,guard against multiple evaluations of before statement some rules evaluate the base statement multiple times eg to executetests repeatedly the changes made in led to an exception in suchcases because the mockitolistener was registered multiple times nowwe only add the listener the first time the statement is evaluated inorder to restore the old behavior
1815.0,1845,1,1,0,1,1,1,0,0,revert add duration overloads reverts mockito mockito
1846.0,1847,1,0,0,1,1,1,0,0,undetected unused stubbing when matching previous stubbed call
1848.0,1849,1,0,0,1,1,1,1,0,performance optimization by using methodgetparametercount where possible hias described in we could make use of methodgetparametercount in order to save some overhead from unnecessary cloning caused methodgetparametertypes as this is my first contribution to mockito let me know if i can do something to helplet me know what you thinkcheerschristoph
522.0,1850,1,0,0,0,1,1,1,0,basic test suite for osgi framework this is a proposal for a basic test project to ensure that the mockito artifacts can be consumed from an osgi environment for example reverting the fix for is caught with the following exception javalangillegalstateexception failed to install bundle mockito core jar at orgmockitoosgitestosgitestsetup osgitestjava snipped caused by orgosgiframeworkbundleexception error occurred installing a bundle at orgeclipseosgistoragestorageinstall storagejava at orgeclipseosgiinternalframeworkbundlecontextimplinstallbundle bundlecontextimpljava at orgeclipseosgiinternalframeworkbundlecontextimplinstallbundle bundlecontextimpljava at orgmockitoosgitestosgitestsetup osgitestjava morecaused by javalangillegalargumentexception invalid range invalid format at orgosgiframeworkversionrange versionrangejava at orgeclipseosgicontainerbuildersosgimanifestbuilderfactoryaddpackageimports osgimanifestbuilderfactoryjava at orgeclipseosgicontainerbuildersosgimanifestbuilderfactorygetpackageimports osgimanifestbuilderfactoryjava at orgeclipseosgicontainerbuildersosgimanifestbuilderfactorycreatebuilder osgimanifestbuilderfactoryjava at orgeclipseosgicontainerbuildersosgimanifestbuilderfactorycreatebuilder osgimanifestbuilderfactoryjava at orgeclipseosgistoragestoragegetbuilder storagejava at orgeclipseosgistoragestoragegetbuilder storagejava at orgeclipseosgistoragestorageinstall storagejava morecaused by javautilnosuchelementexception at javautilstringtokenizernexttoken stringtokenizerjava at orgosgiframeworkversionrange versionrangejava more the osgi test project consists of three source sets a regular junit test source set with a single class osgitest starts an osgi framework installs mockito core byte buddy and objenesis bundles as well as two test bundles and executes some simple mockito test cases inside the osgi framework a source set testbundle thats built to an osgi bundle using the bundle task from the bnd gradle plugin contains the test classes that run the mockito test cases and thus depends on the mockito bundle a source set otherbundle thats also built to an osgi bundle but with no other dependencies used for testing mocking of classes from other bundlessome further technical details the test source set only has compile dependencies on the osgi apis and junit ie not on mockito the osgi framework is created using the standard framework api at runtime equinox is added as a dependency to supply an actual framework implementation but the intention is that any framework implementation could be used the test cases are run by loading classes from the test bundle that all implement runnable this is to provide a simple bridge using a common jdk class the reason for setting up such a bridge is that i want to drive the tests using a test runner that gradle supports for example to get good test reports but the test bundles dont know anything about junit inside the osgi framework i didnt want to explore adding an osgified version of junit into the mix at this point since that would also entail solving test discovery inside an osgi framework the osgi bundles are built using the bnd gradle plugin instead of the deprecated osgi plugin in gradle the reason is both future proofing to not impede a migration to gradle in this new sub project and that i believe it better mirrors how other projects would consume the mockito artifacts further it paves the way for replacing the usage of the deprecated plugin for the creating the osgi manifests in the root projectsince this is my first contribution ill be happy to fix anything that goes against the grains
